"ORF","term"
"YAL026C","Mg"
"YBL068W","Mg"
"YBR011C","Mg"
"YBR252W","Mg"
"YCL018W","Mg"
"YDL066W","Mg"
"YDL080C","Mg"
"YDR093W","Mg"
"YDR380W","Mg"
"YEL020C","Mg"
"YEL038W","Mg"
"YEL058W","Mg"
"YER055C","Mg"
"YER099C","Mg"
"YER166W","Mg"
"YGL154C","Mg"
"YGR024C","Mg"
"YGR087C","Mg"
"YGR254W","Mg"
"YHL011C","Mg"
"YHR174W","Mg"
"YIL048W","Mg"
"YIL094C","Mg"
"YJL005W","Mg"
"YJL079C","Mg"
"YKL127W","Mg"
"YKL181W","Mg"
"YLR044C","Mg"
"YLR060W","Mg"
"YLR134W","Mg"
"YLR151C","Mg"
"YLR174W","Mg"
"YLR215C","Mg"
"YMR105C","Mg"
"YMR108W","Mg"
"YMR162C","Mg"
"YMR234W","Mg"
"YMR267W","Mg"
"YMR278W","Mg"
"YMR323W","Mg"
"YNL009W","Mg"
"YNL037C","Mg"
"YNR057C","Mg"
"YOL061W","Mg"
"YOR136W","Mg"
"YOR155C","Mg"
"YOR393W","Mg"
"YPL148C","Mg"
"YPL231W","Mg"
"YPL281C","Mg"
"Q0045","Fe"
"Q0055","Fe"
"Q0060","Fe"
"Q0065","Fe"
"Q0070","Fe"
"YBL071W-A","Fe"
"YDL010W","Fe"
"YDL120W","Fe"
"YDL171C","Fe"
"YDR091C","Fe"
"YDR297W","Fe"
"YDR353W","Fe"
"YDR402C","Fe"
"YER049W","Fe"
"YGL091C","Fe"
"YGR060W","Fe"
"YGR144W","Fe"
"YHR007C","Fe"
"YJR025C","Fe"
"YJR097W","Fe"
"YKL040C","Fe"
"YLL027W","Fe"
"YLR056W","Fe"
"YML014W","Fe"
"YMR015C","Fe"
"YMR272C","Fe"
"YOR226C","Fe"
"YPL135W","Fe"
"YPR067W","Fe"
"Q0250","Cu"
"YBR024W","Cu"
"YBR037C","Cu"
"YBR295W","Cu"
"YDR270W","Cu"
"YDR506C","Cu"
"YFL041W","Cu"
"YGL089C","Cu"
"YGL166W","Cu"
"YHR053C","Cu"
"YHR055C","Cu"
"YJR104C","Cu"
"YKL137W","Cu"
"YLL009C","Cu"
"YLL018C-A","Cu"
"YMR021C","Cu"
"YMR038C","Cu"
"YMR058W","Cu"
"YNL259C","Cu"
"YOR031W","Cu"
"YPL132W","Cu"
"YPL187W","Cu"
"YPR008W","Cu"
"YAL048C","Ca"
"YAL058W","Ca"
"YBL047C","Ca"
"YBR001C","Ca"
"YBR053C","Ca"
"YBR109C","Ca"
"YDR001C","Ca"
"YDR373W","Ca"
"YGL106W","Ca"
"YGL167C","Ca"
"YGR058W","Ca"
"YGR100W","Ca"
"YGR217W","Ca"
"YHR204W","Ca"
"YIL140W","Ca"
"YIR006C","Ca"
"YJR131W","Ca"
"YKL056C","Ca"
"YKL190W","Ca"
"YLR057W","Ca"
"YLR250W","Ca"
"YNL083W","Ca"
"YNL084C","Ca"
"YNR021W","Ca"
"YOR257W","Ca"
"YPL048W","Ca"
"YPL268W","Ca"
"YPR188C","Ca"
"YAL051W","Zn"
"YAL060W","Zn"
"YAL061W","Zn"
"YBL005W","Zn"
"YBL019W","Zn"
"YBL045C","Zn"
"YBL066C","Zn"
"YBL071W-A","Zn"
"YBR018C","Zn"
"YBR033W","Zn"
"YBR046C","Zn"
"YBR058C","Zn"
"YBR145W","Zn"
"YBR150C","Zn"
"YBR239C","Zn"
"YBR240C","Zn"
"YBR267W","Zn"
"YBR297W","Zn"
"YCL030C","Zn"
"YCR018C","Zn"
"YCR105W","Zn"
"YCR106W","Zn"
"YDL030W","Zn"
"YDL042C","Zn"
"YDL043C","Zn"
"YDL061C","Zn"
"YDL168W","Zn"
"YDL170W","Zn"
"YDL175C","Zn"
"YDL238C","Zn"
"YDL246C","Zn"
"YDR034C","Zn"
"YDR045C","Zn"
"YDR052C","Zn"
"YDR088C","Zn"
"YDR207C","Zn"
"YDR213W","Zn"
"YDR265W","Zn"
"YDR303C","Zn"
"YDR409W","Zn"
"YDR421W","Zn"
"YDR448W","Zn"
"YDR520C","Zn"
"YEL019C","Zn"
"YER003C","Zn"
"YER017C","Zn"
"YER040W","Zn"
"YER091C","Zn"
"YER137C","Zn"
"YER184C","Zn"
"YFL021W","Zn"
"YFL052W","Zn"
"YFR005C","Zn"
"YFR037C","Zn"
"YGL013C","Zn"
"YGL040C","Zn"
"YGL043W","Zn"
"YGL070C","Zn"
"YGL162W","Zn"
"YGL187C","Zn"
"YGR058W","Zn"
"YGR063C","Zn"
"YGR109W-A","Zn"
"YGR109W-B","Zn"
"YGR184C","Zn"
"YGR211W","Zn"
"YGR267C","Zn"
"YGR288W","Zn"
"YHR012W","Zn"
"YHR024C","Zn"
"YHR035W","Zn"
"YHR047C","Zn"
"YHR056C","Zn"
"YHR098C","Zn"
"YHR113W","Zn"
"YHR132C","Zn"
"YHR143W-A","Zn"
"YHR178W","Zn"
"YIL030C","Zn"
"YIL079C","Zn"
"YIL082W-A","Zn"
"YIL109C","Zn"
"YIL130W","Zn"
"YIL137C","Zn"
"YIR013C","Zn"
"YIR023W","Zn"
"YIR027C","Zn"
"YJL035C","Zn"
"YJL056C","Zn"
"YJL089W","Zn"
"YJL103C","Zn"
"YJL110C","Zn"
"YJL206C","Zn"
"YJR063W","Zn"
"YJR104C","Zn"
"YJR127C","Zn"
"YJR159W","Zn"
"YKL015W","Zn"
"YKL038W","Zn"
"YKL059C","Zn"
"YKL060C","Zn"
"YKL084W","Zn"
"YKL103C","Zn"
"YKL114C","Zn"
"YKL157W","Zn"
"YKL185W","Zn"
"YKL222C","Zn"
"YKR023W","Zn"
"YKR034W","Zn"
"YKR064W","Zn"
"YLL054C","Zn"
"YLL062C","Zn"
"YLR005W","Zn"
"YLR013W","Zn"
"YLR014C","Zn"
"YLR024C","Zn"
"YLR032W","Zn"
"YLR070C","Zn"
"YLR074C","Zn"
"YLR098C","Zn"
"YLR116W","Zn"
"YLR163C","Zn"
"YLR228C","Zn"
"YLR245C","Zn"
"YLR256W","Zn"
"YLR266C","Zn"
"YLR278C","Zn"
"YLR298C","Zn"
"YLR388W","Zn"
"YLR451W","Zn"
"YML076C","Zn"
"YML099C","Zn"
"YML107C","Zn"
"YMR019W","Zn"
"YMR026C","Zn"
"YMR038C","Zn"
"YMR080C","Zn"
"YMR083W","Zn"
"YMR089C","Zn"
"YMR136W","Zn"
"YMR168C","Zn"
"YMR201C","Zn"
"YMR223W","Zn"
"YMR280C","Zn"
"YMR303C","Zn"
"YMR318C","Zn"
"YNL036W","Zn"
"YNL045W","Zn"
"YNL049C","Zn"
"YNL155W","Zn"
"YNL255C","Zn"
"YNL262W","Zn"
"YNL310C","Zn"
"YNR063W","Zn"
"YOL033W","Zn"
"YOL068C","Zn"
"YOL086C","Zn"
"YOL089C","Zn"
"YOL154W","Zn"
"YOR052C","Zn"
"YOR077W","Zn"
"YOR156C","Zn"
"YOR162C","Zn"
"YOR172W","Zn"
"YOR210W","Zn"
"YOR337W","Zn"
"YOR341W","Zn"
"YOR363C","Zn"
"YOR380W","Zn"
"YPL015C","Zn"
"YPL021W","Zn"
"YPL103C","Zn"
"YPL111W","Zn"
"YPL133C","Zn"
"YPL248C","Zn"
"YPR017C","Zn"
"YPR022C","Zn"
"YPR181C","Zn"
"YPR191W","Zn"
"YPR196W","Zn"
"YER078C","Mn"
"YFR006W","Mn"
"YLR151C","Mn"
"YMR224C","Mn"
"YNL118C","Mn"
"YOL142W","Mn"
"YPL111W","Mn"
"YBR014C","Fe"
"YBR163W","Fe"
"YCL017C","Fe"
"YDL102W","Fe"
"YDR098C","Fe"
"YDR234W","Fe"
"YEL024W","Fe"
"YER171W","Fe"
"YER174C","Fe"
"YGL009C","Fe"
"YGR286C","Fe"
"YHR164C","Fe"
"YIL003W","Fe"
"YJL200C","Fe"
"YJR016C","Fe"
"YJR137C","Fe"
"YKL045W","Fe"
"YKL195W","Fe"
"YKR071C","Fe"
"YLL041C","Fe"
"YLR304C","Fe"
"YNL102W","Fe"
"YNL240C","Fe"
"YNL262W","Fe"
"YOL043C","Fe"
"YOR196C","Fe"
"YOR356W","Fe"
"YPL059W","Fe"
"YPL086C","Fe"
"YPL167C","Fe"
"YPL207W","Fe"
"YPL252C","Fe"
"YPR002W","Fe"
"Q0105","unspecific"
"YAL002W","unspecific"
"YAL021C","unspecific"
"YAL035W","unspecific"
"YAL038W","unspecific"
"YAL039C","unspecific"
"YAR007C","unspecific"
"YAR009C","unspecific"
"YBL005W-B","unspecific"
"YBL023C","unspecific"
"YBL033C","unspecific"
"YBL049W","unspecific"
"YBL052C","unspecific"
"YBL055C","unspecific"
"YBL056W","unspecific"
"YBL059C-A","unspecific"
"YBL091C","unspecific"
"YBL100W-B","unspecific"
