"ORF","Significant"
"YMR056C",TRUE
"YBR085W",TRUE
"YNL141W",TRUE
"YHR047C",FALSE
"YLR027C",FALSE
"YBR236C",FALSE
"YKL112W",FALSE
"YMR072W",TRUE
"YCR088W",FALSE
"YOR239W",FALSE
"YMR289W",FALSE
"YGR037C",TRUE
"YNR016C",TRUE
"YLR144C",FALSE
"YBL015W",TRUE
"YDR161W",FALSE
"YLR304C",TRUE
"YJL200C",TRUE
"YKL192C",TRUE
"YLR153C",TRUE
"YFL039C",FALSE
"YMR184W",TRUE
"YKL206C",FALSE
"YAR015W",TRUE
"YNL220W",TRUE
"YLR359W",TRUE
"YLR028C",TRUE
"YMR120C",TRUE
"YOR128C",TRUE
"YGR204W",TRUE
"YMR300C",TRUE
"YGL234W",TRUE
"YGR061C",TRUE
"YDR408C",TRUE
"YOL086C",TRUE
"YMR083W",TRUE
"YGL256W",TRUE
"YBR145W",TRUE
"YMR318C",TRUE
"YMR009W",FALSE
"YDR226W",FALSE
"YJR105W",TRUE
"YCR011C",TRUE
"YEL052W",FALSE
"YLR397C",FALSE
"YER017C",TRUE
"YFL030W",FALSE
"YDR214W",TRUE
"YLR109W",TRUE
"YHL021C",TRUE
"YHR198C",TRUE
"YIL087C",TRUE
"YAL049C",TRUE
"YIR003W",TRUE
"YJR080C",FALSE
"YKR074W",FALSE
"YBR108W",FALSE
"YOR215C",TRUE
"YPR004C",FALSE
"YDL237W",TRUE
"YDR063W",FALSE
"YER080W",FALSE
"YMR092C",TRUE
"YBR059C",TRUE
"YDR264C",TRUE
"YOR335C",FALSE
"YMR170C",TRUE
"YMR169C",TRUE
"YOR374W",TRUE
"YER073W",TRUE
"YPL061W",TRUE
"YOR175C",TRUE
"YNR030W",TRUE
"YGL065C",TRUE
"YPL227C",TRUE
"YNL219C",TRUE
"YML086C",FALSE
"YLR089C",FALSE
"YML035C",TRUE
"YGL156W",TRUE
"YEL036C",FALSE
"YPR180W",FALSE
"YCL050C",FALSE
"YDR530C",FALSE
"YBR151W",FALSE
"YKL103C",TRUE
"YKL157W",TRUE
"YBR286W",TRUE
"YHR113W",FALSE
"YJR005W",FALSE
"YKL135C",FALSE
"YPR029C",TRUE
"YPL195W",FALSE
"YGR261C",FALSE
"YPL259C",TRUE
"YBR288C",TRUE
"YKL114C",FALSE
"YLR170C",TRUE
"YML022W",TRUE
"YBR149W",TRUE
"YMR041C",TRUE
"YER036C",TRUE
"YGL105W",TRUE
"YIL062C",FALSE
"YLR370C",FALSE
"YKL013C",TRUE
"YNR035C",TRUE
"YBR234C",FALSE
"YHR013C",TRUE
"YNR019W",TRUE
"YDL192W",TRUE
"YDL137W",TRUE
"YOL058W",TRUE
"YJL088W",TRUE
"YHR018C",TRUE
"YER069W",TRUE
"YMR062C",FALSE
"YOL140W",TRUE
"YDR376W",FALSE
"YGL157W",TRUE
"YBR164C",TRUE
"YHL047C",FALSE
"YDR127W",TRUE
"YGL148W",TRUE
"YDR035W",TRUE
"YBR249C",TRUE
"YPR060C",FALSE
"YGL202W",TRUE
"YDL029W",FALSE
"YJR065C",TRUE
"YJL081C",TRUE
"YNL059C",TRUE
"YPR034W",FALSE
"YOR141C",FALSE
"YMR033W",TRUE
"YDR101C",TRUE
"YMR116C",TRUE
"YJL115W",TRUE
"YPR145W",TRUE
"YGR124W",FALSE
"YDR321W",TRUE
"YBL069W",FALSE
"YNL242W",TRUE
"YDL113C",TRUE
"YJL178C",FALSE
"YBR139W",TRUE
"YHR171W",TRUE
"YBL078C",FALSE
"YMR301C",FALSE
"YBL099W",TRUE
"YNL315C",TRUE
"YJL180C",FALSE
"YLR295C",FALSE
"YPL271W",TRUE
"YDR377W",TRUE
"YML081C-A",TRUE
"YJR121W",TRUE
"YPR020W",TRUE
"YBR039W",TRUE
"YPL078C",TRUE
"YDR298C",TRUE
"YKL016C",TRUE
"YLR114C",FALSE
"YJR001W",TRUE
"YIL088C",TRUE
"YIL124W",FALSE
"YIL015W",TRUE
"YKR099W",TRUE
"YHR208W",TRUE
"YJR148W",TRUE
"YJL020C",TRUE
"YMR237W",FALSE
"YDR361C",TRUE
"YIL033C",TRUE
"YLR399C",FALSE
"YAL060W",TRUE
"YAL061W",TRUE
"YER155C",TRUE
"YPL161C",TRUE
"YIL004C",FALSE
"YKR068C",FALSE
"YOR198C",TRUE
"YDR299W",TRUE
"YGR282C",TRUE
"Q0115",TRUE
