"ORF","Significant"
"YMR056C",TRUE
"YBR085W",TRUE
"YPL088W",FALSE
"YNL141W",FALSE
"YHR047C",TRUE
"YLR027C",TRUE
"YBR236C",FALSE
"YKL112W",TRUE
"YMR072W",TRUE
"YCR088W",FALSE
"YOR239W",FALSE
"YMR289W",FALSE
"YGR037C",TRUE
"YNR016C",TRUE
"YLR144C",FALSE
"YBL015W",TRUE
"YDR161W",FALSE
"YLR304C",TRUE
"YJL200C",TRUE
"YKL192C",TRUE
"YLR153C",TRUE
"YFL039C",FALSE
"YMR184W",TRUE
"YKL206C",FALSE
"YAR015W",TRUE
"YNL220W",TRUE
"YLR359W",FALSE
"YLR028C",TRUE
"YMR120C",TRUE
"YOR128C",TRUE
"YGR204W",TRUE
"YMR300C",FALSE
"YGL234W",TRUE
"YGR061C",FALSE
"YDR408C",FALSE
"YOL086C",TRUE
"YMR083W",TRUE
"YGL256W",TRUE
"YBR145W",TRUE
"YMR318C",TRUE
"YMR009W",FALSE
"YDR226W",FALSE
"YJR105W",FALSE
"YCR011C",FALSE
"YEL052W",TRUE
"YLR397C",FALSE
"YER017C",FALSE
"YFL030W",FALSE
"YDR214W",TRUE
"YLR109W",TRUE
"YHL021C",TRUE
"YHR198C",FALSE
"YIL087C",FALSE
"YAL049C",TRUE
"YIR003W",TRUE
"YJR080C",FALSE
"YKR074W",FALSE
"YBR108W",FALSE
"YMR157C",FALSE
"YOL053W",FALSE
"YOR215C",TRUE
"YPR004C",FALSE
"YDL237W",FALSE
"YDR063W",FALSE
"YER080W",FALSE
"YMR092C",TRUE
"YBR059C",FALSE
"YDR264C",TRUE
"YOR335C",FALSE
"YMR170C",TRUE
"YMR169C",TRUE
"YOR374W",TRUE
"YER073W",TRUE
"YPL061W",TRUE
"YOR175C",TRUE
"YNR030W",FALSE
"YGL065C",TRUE
"YPL227C",FALSE
"YNL219C",TRUE
"YML086C",FALSE
"YLR089C",TRUE
"YML035C",FALSE
"YGL156W",TRUE
"YEL036C",FALSE
"YPR180W",FALSE
"YCL050C",FALSE
"YDR530C",TRUE
"YBR151W",FALSE
"YKL103C",TRUE
"YKL157W",FALSE
"YBR286W",TRUE
"YHR113W",FALSE
"YJR005W",FALSE
"YKL135C",FALSE
"YPR029C",TRUE
"YPL195W",TRUE
"YGR261C",FALSE
"YPL259C",TRUE
"YBR288C",TRUE
"YOL062C",FALSE
"YKL114C",FALSE
"YLR170C",FALSE
"YJL024C",FALSE
"YML022W",TRUE
"YBR149W",TRUE
"YMR041C",TRUE
"YER036C",FALSE
"YGL105W",FALSE
"YIL062C",FALSE
"YLR370C",FALSE
"YKL013C",FALSE
"YNR035C",FALSE
"YBR234C",FALSE
"YHR013C",FALSE
"YNR019W",TRUE
"YDL192W",TRUE
"YDL137W",TRUE
"YOL058W",TRUE
"YJL088W",TRUE
"YHR018C",TRUE
"YER069W",TRUE
"YMR062C",TRUE
"YOL140W",TRUE
"YDR376W",FALSE
"YGL157W",TRUE
"YBR164C",FALSE
"YHL047C",FALSE
"YDR127W",TRUE
"YGL148W",TRUE
"YDR035W",FALSE
"YBR249C",TRUE
"YPR060C",FALSE
"YGL202W",TRUE
"YDL029W",FALSE
"YJR065C",TRUE
"YJL081C",TRUE
"YNL059C",FALSE
"YPR034W",FALSE
"YOR141C",FALSE
"YMR033W",FALSE
"YDR101C",TRUE
"YMR116C",TRUE
"YJL115W",TRUE
"YPR145W",TRUE
"YGR124W",TRUE
"YDR321W",FALSE
"YBL069W",FALSE
"YNL242W",TRUE
"YDL113C",TRUE
"YLR189C",FALSE
"YJL178C",TRUE
"YBR139W",TRUE
"YHR171W",FALSE
"YBL078C",TRUE
"YMR301C",FALSE
"YBL099W",TRUE
"YNL315C",TRUE
"YJL180C",FALSE
"YLR295C",FALSE
"YPL271W",TRUE
"YDL004W",FALSE
"YDR377W",TRUE
"YML081C-A",TRUE
"YJR121W",FALSE
"YPR020W",TRUE
"YBR039W",TRUE
"YPL078C",TRUE
"YDR298C",TRUE
"YKL016C",TRUE
"YLR114C",FALSE
"YJR001W",TRUE
"YIL088C",TRUE
"YIL124W",FALSE
"YIL015W",TRUE
"YKR099W",TRUE
"YHR208W",TRUE
"YJR148W",TRUE
"YJL020C",TRUE
"YMR237W",TRUE
"YDR361C",FALSE
"YIL033C",TRUE
"YLR399C",FALSE
"YAL060W",TRUE
"YAL061W",FALSE
"YER155C",FALSE
