"","ORF","term"
"1","YAL026C","Mg"
"2","YBL068W","Mg"
"3","YBR011C","Mg"
"4","YBR252W","Mg"
"5","YCL018W","Mg"
"6","YDL066W","Mg"
"7","YDL080C","Mg"
"8","YDR093W","Mg"
"9","YDR380W","Mg"
"10","YEL020C","Mg"
"11","YEL038W","Mg"
"12","YEL058W","Mg"
"13","YER055C","Mg"
"14","YER099C","Mg"
"15","YER166W","Mg"
"16","YGL154C","Mg"
"17","YGR024C","Mg"
"18","YGR087C","Mg"
"19","YGR254W","Mg"
"20","YHL011C","Mg"
"21","YHR174W","Mg"
"22","YIL048W","Mg"
"23","YIL094C","Mg"
"24","YJL005W","Mg"
"25","YJL079C","Mg"
"26","YKL127W","Mg"
"27","YKL181W","Mg"
"28","YLR044C","Mg"
"29","YLR060W","Mg"
"30","YLR134W","Mg"
"31","YLR151C","Mg"
"32","YLR174W","Mg"
"33","YLR215C","Mg"
"34","YMR105C","Mg"
"35","YMR108W","Mg"
"36","YMR162C","Mg"
"37","YMR234W","Mg"
"38","YMR267W","Mg"
"39","YMR278W","Mg"
"40","YMR323W","Mg"
"41","YNL009W","Mg"
"42","YNL037C","Mg"
"43","YNR057C","Mg"
"44","YOL061W","Mg"
"45","YOR136W","Mg"
"46","YOR155C","Mg"
"47","YOR393W","Mg"
"48","YPL148C","Mg"
"49","YPL231W","Mg"
"50","YPL281C","Mg"
"51","Q0045","Fe"
"52","Q0055","Fe"
"53","Q0060","Fe"
"54","Q0065","Fe"
"55","Q0070","Fe"
"56","YBL071W-A","Fe"
"57","YDL010W","Fe"
"58","YDL120W","Fe"
"59","YDL171C","Fe"
"60","YDR091C","Fe"
"61","YDR297W","Fe"
"62","YDR353W","Fe"
"63","YDR402C","Fe"
"64","YER049W","Fe"
"65","YGL091C","Fe"
"66","YGR060W","Fe"
"67","YGR144W","Fe"
"68","YHR007C","Fe"
"69","YJR025C","Fe"
"70","YJR097W","Fe"
"71","YKL040C","Fe"
"72","YLL027W","Fe"
