"","ORF","term"
"1","Q0045","unspecific"
"2","Q0055","unspecific"
"3","Q0060","unspecific"
"4","Q0065","unspecific"
"5","Q0070","unspecific"
"6","Q0105","unspecific"
"7","Q0250","unspecific"
"8","YAL002W","unspecific"
"9","YAL021C","unspecific"
"10","YAL026C","unspecific"
"11","YAL035W","unspecific"
"12","YAL038W","unspecific"
"13","YAL039C","unspecific"
"14","YAL048C","unspecific"
"15","YAL051W","unspecific"
"16","YAL058W","unspecific"
"17","YAL060W","unspecific"
"18","YAL061W","unspecific"
"19","YAR007C","unspecific"
"20","YAR009C","unspecific"
"21","YBL005W","unspecific"
"22","YBL005W-B","unspecific"
"23","YBL019W","unspecific"
"24","YBL023C","unspecific"
"25","YBL033C","unspecific"
"26","YBL045C","unspecific"
"27","YBL047C","unspecific"
"28","YBL049W","unspecific"
"29","YBL052C","unspecific"
"30","YBL055C","unspecific"
"31","YBL056W","unspecific"
"32","YBL059C-A","unspecific"
"33","YBL066C","unspecific"
"34","YBL068W","unspecific"
"35","YBL071W-A","unspecific"
"36","YBL091C","unspecific"
"37","YBL100W-B","unspecific"
"38","YBL105C","unspecific"
"39","YBR001C","unspecific"
"40","YBR003W","unspecific"
"41","YBR011C","unspecific"
"42","YBR012W-B","unspecific"
"43","YBR014C","unspecific"
"44","YBR018C","unspecific"
"45","YBR024W","unspecific"
"46","YBR025C","unspecific"
"47","YBR033W","unspecific"
"48","YBR037C","unspecific"
"49","YBR046C","unspecific"
"50","YBR053C","unspecific"
"51","YBR058C","unspecific"
"52","YBR062C","unspecific"
"53","YBR066C","unspecific"
"54","YBR074W","unspecific"
"55","YBR091C","unspecific"
"56","YBR098W","unspecific"
"57","YBR109C","unspecific"
"58","YBR111C","unspecific"
"59","YBR114W","unspecific"
"60","YBR117C","unspecific"
"61","YBR125C","unspecific"
"62","YBR145W","unspecific"
"63","YBR150C","unspecific"
"64","YBR163W","unspecific"
"65","YBR208C","unspecific"
"66","YBR218C","unspecific"
"67","YBR228W","unspecific"
"68","YBR239C","unspecific"
"69","YBR240C","unspecific"
"70","YBR252W","unspecific"
"71","YBR267W","unspecific"
"72","YBR281C","unspecific"
"73","YBR286W","unspecific"
"74","YBR295W","unspecific"
