Cluster,ORF,Gene,Ag_10uM_Fold Change,Ag_10uM_P-value,Ag_20uM_Fold Change,Ag_20uM_P-value,As_400uM_Fold Change,As_400uM_P-value,As_1250uM_Fold Change,As_1250uM_P-value,Cd_5uM_Fold Change,Cd_5uM_P-value,Cd_25uM_Fold Change,Cd_25uM_P-value,Cr_400uM_Fold Change,Cr_400uM_P-value,Cr_1700uM_Fold Change,Cr_1700uM_P-value,Cu_5000uM_Fold Change,Cu_5000uM_P-value,Cu_9000uM_Fold Change,Cu_9000uM_P-value,Hg_19uM_Fold Change,Hg_19uM_P-value,Hg_47uM_Fold Change,Hg_47uM_P-value,Zn_1000uM_Fold Change,Zn_1000uM_P-value,Zn_2000uM_Fold Change,Zn_2000uM_P-value
I,YHR055C,CUP1,11.73016,0,11.70352,0,2.7515,3.51144E-26,4.28389,0,-1.77866,4.21937E-06,-1.82688,1.97056E-08,-2.15916,2.34225E-15,-1.69011,0.00004,33.13061,0,44.72414,0,-2.17537,1.95412E-23,-2.75169,1.38366E-33,1.16324,0.00149,1.26859,0.0298
I,YJL127W-A,YJL127W-A,1.80192,1.27363E-32,2.00648,3.16531E-19,1.66099,1.42613E-14,1.6359,4.45981E-09,1.5838,4.66935E-20,1.39849,1.16266E-09,1.61207,8.80824E-20,1.51159,1.49751E-32,1.53888,0.00003,2.05582,1.52032E-19,1.84115,0,1.78018,5.60519E-44,2.14453,0,2.05222,0
I,YDR034W-B,YDR034W-B,1.43404,4.40902E-09,1.7119,3.13909E-28,1.57127,2.01118E-13,2.33246,0,1.33665,1.68244E-07,1.35748,9.71032E-13,1.31563,3.23766E-06,1.40168,9.68582E-13,1.45112,0.00029,2.22308,0,1.43559,3.9998E-12,1.65592,9.61382E-26,1.85878,3.64191E-14,1.9395,2.59145E-26
I,YML058W-A,HUG1,1.17415,0.00388,1.48145,0.00046,1.32445,0.00046,2.47786,0,1.09582,0.24815,1.07581,0.24862,1.14881,0.01004,1.13743,0.03881,1.19093,0.17315,1.26612,0.00021,1.18241,0.00068,1.22522,0.00077,1.39827,2.41784E-06,1.35883,0.00019
I,YAL064C-A,YAL064C-A,1.88506,1.20141E-08,2.04406,4.2039E-45,2.05469,1.22765E-18,1.76225,2.17095E-36,1.47846,2.48599E-07,1.56115,1.87123E-36,1.79858,2.46411E-40,1.54434,4.78632E-16,1.29494,0.00004,2.13139,1.93495E-20,1.89688,9.40778E-15,2.05137,4.72635E-12,2.17676,7.7471E-09,2.60118,1.47532E-33
I,YOL013W-A,YOL013W-A,2.1313,2.7335E-11,2.77616,1.08708E-29,2.40299,6.47783E-37,2.78739,0,1.91559,1.69752E-15,1.88653,4.37432E-40,2.16685,0,2.0147,0,1.85725,4.99169E-15,3.36315,0,2.05537,1.87029E-19,2.46935,1.45128E-24,3.09676,2.94369E-24,2.75308,5.2237E-25
I,YCR102W-A,YCR102W-A,2.19384,7.61857E-06,2.36335,8.09265E-17,2.4529,2.40309E-23,2.44669,5.1848E-44,1.72661,4.75428E-06,1.39992,0.00028,1.75037,5.20104E-10,1.78338,5.64248E-23,1.19404,0.08181,2.05889,0.00009,1.6677,7.41644E-06,1.84963,3.62838E-06,1.82955,1.36741E-08,2.29617,2.12809E-15
I,YDL130W-A,AIS2,1.41417,3.05462E-07,1.29899,3.29991E-08,1.07436,0.15087,1.43919,1.72473E-08,1.14053,0.01147,1.18242,0.00383,1.41373,5.59317E-12,1.52034,2.1985E-14,1.93625,1.0644E-33,2.53631,7.95203E-25,1.21269,0.00004,1.34002,2.84477E-10,1.33534,1.13465E-08,1.19688,7.67263E-11
I,YKL096W-A,CWP2,1.39758,1.11498E-06,1.34569,1.69795E-11,1.24158,5.10284E-07,-1.06523,0.22015,1.08941,0.11362,1.11884,0.04566,1.56111,2.08518E-23,1.35966,4.24877E-12,1.99148,0,2.10551,0,1.22372,6.48764E-07,1.37758,7.49667E-11,1.19508,0.01885,1.33207,3.81156E-07
I,Q0130,ATP9,2.4348,0,1.61885,1.00339E-18,2.65309,0,9.01983,0,1.50592,1.23961E-09,2.91372,5.44124E-42,3.31959,0,3.58895,0,1.76171,1.21238E-09,1.99586,0,2.74194,0,2.9147,1.32738E-26,2.42895,1.41919E-27,2.90143,0
