"ORF","EC.ID"
"Q0045","1.9.3.1"
"Q0065","1.9.3.1"
"Q0070","1.9.3.1"
"Q0080","3.6.3.14"
"Q0085","3.6.3.14"
"Q0105","1.10.2.2"
"Q0110","1.10.2.2"
"Q0115","1.10.2.2"
"Q0120","1.10.2.2"
"Q0130","3.6.3.14"
"Q0250","1.9.3.1"
"Q0275","1.9.3.1"
"YAL012W","4.4.1.1"
"YAL015C","4.2.99.18"
"YAL021C","3.1.-.-"
"YAL023C","2.4.1.109"
"YAL033W","3.1.26.5"
"YAL038W","2.7.1.40"
"YAL039C","4.4.1.17"
"YAL054C","6.2.1.1"
"YAL060W","1.1.1.303"
"YAL060W","1.1.1.4"
"YAL061W","1.1.1.303"
"YAL061W","1.1.1.4"
"YAL062W","1.4.1.4"
"YAR015W","6.3.2.6"
"YAR019C","2.7.11.1"
"YAR035W","2.3.1.7"
"YAR071W","3.1.3.2"
"YBL011W","2.3.1.42"
"YBL011W","2.3.1.15"
"YBL013W","2.1.2.9"
"YBL015W","3.1.2.1"
"YBL016W","2.7.11.24"
"YBL018C","3.1.26.5"
"YBL019W","4.2.99.18"
"YBL033C","3.5.4.25"
"YBL039C","6.3.4.2"
"YBL041W","3.4.25.1"
"YBL045C","1.10.2.2"
"YBL068W","2.7.6.1"
"YBL076C","6.1.1.5"
"YBL080C","6.3.5.7"
"YBL080C","6.3.5.6"
"YBL082C","2.4.1.130"
"YBL098W","1.14.13.9"
"YBL099W","3.6.3.14"
"YBL105C","2.7.11.13"
"YBR001C","3.2.1.28"
"YBR002C","2.5.1.-"
"YBR003W","2.5.1.83"
"YBR003W","2.5.1.82"
"YBR004C","2.4.1.-"
"YBR006W","1.2.1.16"
"YBR011C","3.6.1.1"
"YBR015C","2.4.1.-"
"YBR018C","2.7.7.12"
"YBR019C","5.1.3.2"
"YBR019C","5.1.3.3"
"YBR020W","2.7.1.6"
"YBR023C","2.4.1.16"
"YBR026C","1.3.1.38"
"YBR029C","2.7.7.41"
"YBR035C","1.4.3.5"
"YBR038W","2.4.1.16"
"YBR039W","3.6.3.14"
"YBR070C","2.4.1.141"
"YBR073W","3.6.4.-"
"YBR082C","6.3.2.19"
"YBR084W","6.3.4.3"
"YBR084W","3.5.4.9"
"YBR084W","1.5.1.5"
"YBR092C","3.1.3.2"
"YBR093C","3.1.3.2"
"YBR097W","2.7.11.1"
"YBR110W","2.4.1.142"
"YBR111C","3.6.1.13"
"YBR115C","1.2.1.31"
"YBR117C","2.2.1.1"
"YBR118W","3.6.5.3"
"YBR121C","6.1.1.14"
"YBR126C","2.4.1.15"
"YBR127C","3.6.3.14"
"YBR133C","2.1.1.125"
"YBR145W","1.1.1.1"
"YBR153W","1.1.1.193"
"YBR159W","1.1.1.-"
"YBR160W","2.7.11.22"
"YBR166C","1.3.1.13"
"YBR167C","3.1.26.5"
"YBR176W","2.1.2.11"
"YBR183W","3.5.1.-"
"YBR196C","5.3.1.9"
"YBR205W","2.4.1.-"
"YBR208C","3.5.1.54"
"YBR208C","6.3.4.6"
"YBR213W","4.99.1.4"
"YBR213W","1.3.1.76"
"YBR218C","6.4.1.1"
"YBR221C","1.2.4.1"
"YBR229C","3.2.1.84"
"YBR236C","2.1.1.56"
"YBR237W","3.6.4.13"
"YBR243C","2.7.8.15"
"YBR244W","1.11.1.9"
"YBR248C","4.1.3.-"
"YBR248C","2.4.2.-"
"YBR249C","2.5.1.54"
"YBR252W","3.6.1.23"
"YBR256C","2.5.1.9"
"YBR257W","3.1.26.5"
"YBR263W","2.1.2.1"
"YBR265W","1.1.1.102"
"YBR274W","2.7.11.1"
"YBR278W","2.7.7.7"
"YBR299W","3.2.1.20"
"YCL004W","2.7.8.5"
"YCL009C","2.2.1.6"
"YCL017C","2.8.1.7"
"YCL018W","1.1.1.85"
"YCL030C","1.1.1.23"
"YCL030C","3.5.4.19"
"YCL030C","3.6.1.31"
"YCL040W","2.7.1.1"
"YCL043C","5.3.4.1"
"YCL050C","2.7.7.5"
"YCL050C","2.7.7.53"
"YCL054W","2.1.1.-"
"YCL064C","4.3.1.17"
"YCL064C","4.3.1.19"
"YCR005C","2.3.3.1"
"YCR012W","2.7.2.3"
"YCR014C","2.7.7.7"
"YCR024C","6.1.1.22"
"YCR034W","2.3.1.-"
"YCR036W","2.7.1.15"
"YCR048W","2.3.1.26"
"YCR053W","4.2.3.1"
"YCR073C","2.7.11.25"
"YCR073W-A","3.1.1.31"
"YCR105W","1.1.1.2"
"YCR107W","1.1.1.-"
"YDL004W","3.6.3.14"
"YDL014W","2.1.1.-"
"YDL015C","1.3.1.-"
"YDL017W","2.7.11.1"
"YDL021W","5.4.2.1"
"YDL022W","1.1.1.8"
"YDL024C","3.1.3.2"
"YDL028C","2.7.12.1"
"YDL033C","2.8.1.-"
"YDL037C","3.2.1.3"
"YDL045C","2.7.7.2"
"YDL052C","2.3.1.51"
"YDL055C","2.7.7.13"
"YDL064W","6.3.2.19"
"YDL066W","1.1.1.42"
"YDL067C","1.9.3.1"
"YDL078C","1.1.1.37"
"YDL080C","4.1.1.1"
"YDL084W","3.6.4.13"
"YDL085W","1.6.99.3"
"YDL086W","3.1.1.45"
"YDL093W","2.4.1.109"
"YDL095W","2.4.1.109"
"YDL101C","2.7.11.1"
"YDL102W","2.7.7.7"
"YDL103C","2.7.7.23"
"YDL108W","2.7.11.22"
"YDL131W","2.3.3.14"
"YDL134C","3.1.3.16"
"YDL140C","2.7.7.6"
"YDL141W","6.3.4.15"
"YDL141W","6.3.4.11"
"YDL141W","6.3.4.10"
"YDL141W","6.3.4.9"
"YDL142C","2.7.8.-"
"YDL150W","2.7.7.6"
"YDL159W","2.7.12.2"
"YDL160C","3.6.4.13"
"YDL164C","6.5.1.1"
"YDL166C","2.7.4.3"
"YDL168W","1.1.1.1"
"YDL168W","1.1.1.284"
"YDL171C","1.4.1.14"
"YDL171C","1.4.1.13"
"YDL174C","1.1.2.4"
"YDL182W","2.3.3.14"
"YDL185W","3.6.3.14"
"YDL188C","3.1.3.16"
"YDL190C","6.3.2.19"
"YDL205C","2.5.1.61"
"YDL215C","1.4.1.2"
"YDL238C","3.5.4.3"
"YDL243C","1.1.1.-"
"YDL246C","1.1.1.14"
"YDR001C","3.2.1.28"
"YDR007W","5.3.1.24"
"YDR009W","2.7.1.6"
"YDR019C","2.1.2.10"
"YDR021W","3.6.4.13"
"YDR023W","6.1.1.11"
"YDR035W","2.5.1.54"
"YDR037W","6.1.1.6"
"YDR044W","1.3.3.3"
"YDR045C","2.7.7.6"
"YDR047W","4.1.1.37"
"YDR050C","5.3.1.1"
"YDR054C","6.3.2.19"
"YDR058C","3.1.1.3"
"YDR059C","6.3.2.19"
"YDR062W","2.3.1.50"
"YDR069C","3.1.2.15"
"YDR074W","2.4.1.15"
"YDR074W","3.1.3.12"
"YDR092W","6.3.2.19"
"YDR111C","2.6.1.2"
"YDR121W","2.7.7.7"
"YDR127W","2.5.1.19"
"YDR127W","2.7.1.71"
"YDR127W","1.1.1.25"
"YDR127W","4.2.1.10"
"YDR127W","4.2.3.4"
"YDR147W","2.7.1.82"
"YDR148C","2.3.1.61"
"YDR156W","2.7.7.6"
"YDR158W","1.2.1.11"
"YDR173C","2.7.1.151"
"YDR177W","6.3.2.19"
"YDR178W","1.3.5.1"
"YDR196C","2.7.1.24"
"YDR208W","2.7.1.68"
"YDR226W","2.7.4.3"
"YDR232W","2.3.1.37"
"YDR234W","4.2.1.36"
"YDR236C","2.7.1.26"
"YDR242W","3.5.1.4"
"YDR243C","3.6.4.13"
"YDR245W","2.4.1.-"
"YDR248C","2.7.1.12"
"YDR256C","1.11.1.6"
"YDR261C","3.2.1.58"
"YDR268W","6.1.1.2"
"YDR272W","3.1.2.6"
"YDR283C","2.7.11.1"
"YDR287W","3.1.3.25"
"YDR294C","4.1.2.27"
"YDR297W","1.14.-.-"
"YDR298C","3.6.3.14"
"YDR300C","2.7.2.11"
"YDR302W","2.7.-.-"
"YDR305C","3.6.1.29"
"YDR307W","2.4.1.109"
"YDR321W","3.5.1.1"
"YDR331W","2.6.-.-"
"YDR341C","6.1.1.19"
"YDR347W","1.15.1.1"
"YDR353W","1.8.1.9"
"YDR354W","2.4.2.18"
"YDR368W","1.1.1.-"
"YDR371W","3.2.1.14"
"YDR377W","3.6.3.14"
"YDR380W","4.1.1.-"
"YDR386W","3.1.22.-"
"YDR390C","6.3.2.19"
"YDR402C","1.14.14.1"
"YDR408C","2.1.2.2"
"YDR428C","3.5.1.9"
"YDR440W","2.1.1.43"
"YDR441C","2.4.2.7"
"YDR454C","2.7.4.8"
"YDR457W","6.3.2.19"
"YDR465C","2.1.1.-"
"YDR477W","2.7.11.1"
"YDR481C","3.1.3.1"
"YDR483W","2.4.1.-"
"YDR487C","4.1.99.12"
"YDR502C","2.5.1.6"
"YDR507C","2.7.11.-"
"YDR518W","5.3.4.1"
"YDR523C","2.7.11.1"
"YDR529C","1.10.2.2"
"YDR530C","2.7.7.53"
"YDR531W","2.7.1.33"
"YEL011W","2.4.1.18"
"YEL012W","6.3.2.19"
"YEL020C","4.1.-.-"
"YEL021W","4.1.1.23"
"YEL024W","1.10.2.2"
"YEL027W","3.6.3.14"
"YEL029C","2.7.1.35"
"YEL036C","2.4.1.-"
"YEL038W","3.1.3.77"
"YEL046C","4.1.2.5"
"YEL051W","3.6.3.14"
"YEL058W","5.4.2.3"
"YEL070W","1.1.1.67"
"YER001W","2.4.1.-"
"YER003C","5.3.1.8"
"YER005W","3.6.1.5"
"YER012W","3.4.25.1"
"YER013W","3.6.4.13"
"YER014W","1.3.3.4"
"YER015W","6.2.1.3"
"YER023W","1.5.1.2"
"YER026C","2.7.8.8"
"YER043C","3.3.1.1"
"YER052C","2.7.2.4"
"YER055C","2.4.2.17"
"YER061C","2.3.1.179"
"YER062C","3.1.3.21"
"YER065C","4.1.3.1"
"YER068W","6.3.2.19"
"YER069W","2.7.2.8"
"YER069W","1.2.1.38"
"YER070W","1.17.4.1"
"YER073W","1.2.1.3"
"YER078C","3.4.-.-"
"YER081W","1.1.1.95"
"YER086W","4.3.1.19"
"YER087W","6.1.1.15"
"YER090W","4.1.3.27"
"YER091C","2.1.1.14"
"YER094C","3.4.25.1"
"YER099C","2.7.6.1"
"YER100W","6.3.2.19"
"YER125W","6.3.2.19"
"YER133W","3.1.3.16"
"YER142C","3.2.2.21"
"YER144C","3.1.2.15"
"YER168C","3.1.4.-"
"YER168C","3.1.3.-"
"YER168C","2.7.7.72"
"YER170W","2.7.4.3"
"YER171W","3.6.4.12"
"YER172C","3.6.4.13"
"YER178W","1.2.4.1"
"YER183C","6.3.3.2"
"YFL017C","2.3.1.4"
"YFL018C","1.8.1.4"
"YFL022C","6.1.1.20"
"YFL025C","3.-.-.-"
"YFL029C","2.7.11.22"
"YFL030W","2.6.1.51"
"YFL030W","2.6.1.45"
"YFL030W","2.6.1.44"
"YFL033C","2.7.11.1"
"YFL044C","3.1.2.-"
"YFL045C","5.4.2.8"
"YFL053W","2.7.1.29"
"YFL056C","1.1.1.-"
"YFL059W","4.-.-.-"
"YFL060C","2.6.-.-"
"YFR015C","2.4.1.11"
"YFR019W","2.7.1.150"
"YFR025C","3.1.3.15"
"YFR028C","3.1.3.48"
"YFR030W","1.8.1.2"
"YFR033C","1.10.2.2"
"YFR047C","2.4.2.19"
"YFR050C","3.4.25.1"
"YFR053C","2.7.1.1"
"YFR055W","4.4.1.8"
"YGL001C","1.1.1.170"
"YGL008C","3.6.3.6"
"YGL009C","4.2.1.33"
"YGL011C","3.4.25.1"
"YGL012W","1.3.1.71"
"YGL022W","2.4.1.119"
"YGL026C","4.2.1.20"
"YGL027C","3.2.1.106"
"YGL037C","3.5.1.19"
"YGL038C","2.4.1.232"
"YGL040C","4.2.1.24"
"YGL047W","2.4.1.141"
"YGL055W","1.14.19.1"
"YGL058W","6.3.2.19"
"YGL062W","6.4.1.1"
"YGL063W","4.2.1.70"
"YGL065C","2.4.1.-"
"YGL065C","2.4.1.132"
"YGL094C","3.1.13.4"
"YGL099W","3.6.1.-"
"YGL120C","3.6.4.13"
"YGL125W","1.5.1.20"
"YGL141W","6.3.2.19"
"YGL142C","2.4.1.-"
"YGL148W","4.2.3.5"
"YGL156W","3.2.1.24"
"YGL163C","3.6.4.-"
"YGL173C","3.1.13.-"
"YGL180W","2.7.11.1"
"YGL184C","4.4.1.8"
"YGL187C","1.9.3.1"
"YGL191W","1.9.3.1"
"YGL202W","2.6.1.5"
"YGL202W","2.6.1.27"
"YGL202W","2.6.1.57"
"YGL205W","1.3.3.6"
"YGL211W","2.7.7.-"
"YGL234W","6.3.3.1"
"YGL234W","6.3.4.13"
"YGL245W","6.1.1.17"
"YGL248W","3.1.4.17"
"YGL253W","2.7.1.1"
"YGL256W","1.1.1.1"
"YGL257C","2.4.1.-"
"YGR007W","2.7.7.14"
"YGR010W","2.7.7.18"
"YGR010W","2.7.7.1"
"YGR012W","2.5.1.47"
"YGR019W","2.6.1.22"
"YGR019W","2.6.1.19"
"YGR020C","3.6.3.14"
"YGR030C","3.1.26.5"
"YGR032W","2.4.1.34"
"YGR036C","3.6.1.43"
"YGR040W","2.7.11.24"
"YGR043C","2.2.1.2"
"YGR060W","1.14.13.72"
"YGR061C","6.3.5.3"
"YGR087C","4.1.1.1"
"YGR088W","1.11.1.6"
"YGR092W","2.7.11.-"
"YGR094W","6.1.1.9"
"YGR098C","3.4.22.49"
"YGR110W","3.1.1.-"
"YGR124W","6.3.5.4"
"YGR135W","3.4.25.1"
"YGR155W","4.2.1.22"
"YGR157W","2.1.1.17"
"YGR170W","4.1.1.65"
"YGR171C","6.1.1.10"
"YGR175C","1.14.99.7"
"YGR180C","1.17.4.1"
"YGR183C","1.10.2.2"
"YGR185C","6.1.1.1"
"YGR188C","2.7.11.1"
"YGR192C","1.2.1.12"
"YGR194C","2.7.1.17"
"YGR199W","2.4.1.109"
"YGR202C","2.7.7.15"
"YGR204W","6.3.4.3"
"YGR204W","3.5.4.9"
"YGR204W","1.5.1.5"
"YGR208W","3.1.3.3"
"YGR227W","2.4.1.-"
"YGR240C","2.7.1.11"
"YGR244C","6.2.1.5"
"YGR244C","6.2.1.4"
"YGR248W","3.1.1.31"
"YGR253C","3.4.25.1"
"YGR254W","4.2.1.11"
"YGR255C","1.14.13.-"
"YGR256W","1.1.1.44"
