"ORF","ontology","term"
"HRA1","BP","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"HRA1","MF","molecular_function"
"HRA1","CC","cellular_component"
"ICR1","MF","molecular_function"
"ICR1","CC","nucleus"
"ICR1","BP","regulation of transcription by RNA polymerase II"
"LSR1","BP","mRNA branch site recognition"
"LSR1","BP","mRNA 5'-splice site recognition"
"LSR1","BP","mRNA splicing, via spliceosome"
"LSR1","CC","U2 snRNP"
"LSR1","MF","pre-mRNA 5'-splice site binding"
"LSR1","MF","pre-mRNA branch point binding"
"NME1","MF","ribonuclease MRP activity"
"NME1","CC","ribonuclease MRP complex"
"NME1","BP","rRNA processing"
"NME1","BP","mRNA processing"
"NME1","BP","positive regulation of cell cycle"
"NME1","BP","RNA phosphodiester bond hydrolysis"
"PWR1","MF","molecular_function"
"PWR1","CC","nucleus"
"PWR1","BP","regulation of transcription by RNA polymerase II"
"Q0020","MF","structural constituent of ribosome"
"Q0020","CC","mitochondrial small ribosomal subunit"
"Q0020","CC","ribosome"
"Q0020","BP","mitochondrial translation"
"Q0045","MF","cytochrome-c oxidase activity"
"Q0045","CC","mitochondrion"
"Q0045","CC","mitochondrial inner membrane"
"Q0045","CC","mitochondrial respiratory chain complex IV"
"Q0045","BP","oxidative phosphorylation"
"Q0045","BP","mitochondrial electron transport, cytochrome c to oxygen"
"Q0045","BP","aerobic respiration"
"Q0045","BP","electron transport coupled proton transport"
"Q0045","CC","membrane"
"Q0045","MF","heme binding"
"Q0045","BP","respiratory electron transport chain"
"Q0045","CC","respiratory chain complex IV"
"Q0045","MF","metal ion binding"
"Q0045","CC","respirasome"
"Q0050","MF","RNA-directed DNA polymerase activity"
"Q0050","CC","mitochondrion"
"Q0050","BP","RNA-templated DNA biosynthetic process"
"Q0050","BP","homing of group II introns"
"Q0050","BP","mRNA processing"
"Q0050","BP","mitochondrial mRNA processing"
"Q0055","MF","RNA-directed DNA polymerase activity"
"Q0055","MF","cytochrome-c oxidase activity"
"Q0055","CC","mitochondrion"
"Q0055","BP","RNA-templated DNA biosynthetic process"
"Q0055","BP","intron homing"
"Q0055","BP","homing of group II introns"
"Q0055","BP","mRNA processing"
"Q0055","BP","aerobic respiration"
"Q0055","MF","heme binding"
"Q0055","BP","electron transport chain"
"Q0055","BP","mitochondrial mRNA processing"
"Q0055","BP","proton transmembrane transport"
"Q0060","MF","cytochrome-c oxidase activity"
"Q0060","MF","nuclease activity"
"Q0060","MF","endonuclease activity"
"Q0060","CC","mitochondrion"
"Q0060","CC","mitochondrial respiratory chain complex IV"
"Q0060","BP","mitochondrial electron transport, cytochrome c to oxygen"
"Q0060","BP","intron homing"
"Q0060","BP","mRNA processing"
"Q0060","BP","biological_process"
"Q0060","BP","RNA splicing"
"Q0060","BP","aerobic respiration"
"Q0060","BP","electron transport coupled proton transport"
"Q0060","CC","membrane"
"Q0060","MF","hydrolase activity"
"Q0060","MF","heme binding"
"Q0060","BP","respiratory electron transport chain"
"Q0060","BP","nucleic acid phosphodiester bond hydrolysis"
"Q0065","MF","cytochrome-c oxidase activity"
"Q0065","MF","nuclease activity"
"Q0065","MF","endonuclease activity"
"Q0065","CC","mitochondrion"
