ORF	Gene.Name	SGD.Num	GO.Term.Type	GO.Term.Description	GO.Term.Number	Annotation.Status
HRA1	HRA1	S000119380	F	molecular_function	GO:0003674	ncRNA_gene
ICR1	ICR1	S000132612	F	molecular_function	GO:0003674	ncRNA_gene
LSR1	LSR1	S000006478	F	RNA binding	GO:0003723	snRNA_gene
NME1	NME1	S000007436	F	hydrolase activity	GO:0016787	snoRNA_gene
NME1	NME1	S000007436	F	nuclease activity	GO:0004518	snoRNA_gene
PWR1	PWR1	S000132614	F	molecular_function	GO:0003674	ncRNA_gene
Q0010		S000007257	F	molecular_function	GO:0003674	ORF|Dubious
Q0017		S000007258	F	molecular_function	GO:0003674	ORF|Dubious
Q0020	15S_RRNA	S000007287	F	structural constituent of ribosome	GO:0003735	rRNA_gene
Q0020	15S_RRNA	S000007287	F	structural molecule activity	GO:0005198	rRNA_gene
Q0032		S000007259	F	molecular_function	GO:0003674	ORF|Dubious
Q0045	COX1	S000007260	F	oxidoreductase activity	GO:0016491	ORF|Verified
Q0045	COX1	S000007260	F	transmembrane transporter activity	GO:0022857	ORF|Verified
Q0050	AI1	S000007261	F	nucleotidyltransferase activity	GO:0016779	ORF|Verified
Q0050	AI1	S000007261	F	transferase activity	GO:0016740	ORF|Verified
Q0055	AI2	S000007262	F	nucleotidyltransferase activity	GO:0016779	ORF|Verified
Q0055	AI2	S000007262	F	transferase activity	GO:0016740	ORF|Verified
Q0060	AI3	S000007263	F	hydrolase activity	GO:0016787	ORF|Verified
Q0060	AI3	S000007263	F	nuclease activity	GO:0004518	ORF|Verified
Q0065	AI4	S000007264	F	hydrolase activity	GO:0016787	ORF|Verified
Q0065	AI4	S000007264	F	nuclease activity	GO:0004518	ORF|Verified
Q0070	AI5_ALPHA	S000007265	F	hydrolase activity	GO:0016787	ORF|Verified
Q0070	AI5_ALPHA	S000007265	F	nuclease activity	GO:0004518	ORF|Verified
Q0075	AI5_BETA	S000007266	F	molecular_function	GO:0003674	ORF|Uncharacterized
Q0080	ATP8	S000007267	F	ATPase activity	GO:0016887	ORF|Verified
Q0080	ATP8	S000007267	F	hydrolase activity	GO:0016787	ORF|Verified
Q0080	ATP8	S000007267	F	transmembrane transporter activity	GO:0022857	ORF|Verified
Q0085	ATP6	S000007268	F	ATPase activity	GO:0016887	ORF|Verified
Q0085	ATP6	S000007268	F	hydrolase activity	GO:0016787	ORF|Verified
Q0085	ATP6	S000007268	F	transmembrane transporter activity	GO:0022857	ORF|Verified
Q0092		S000007269	F	molecular_function	GO:0003674	ORF|Dubious
Q0105	COB	S000007270	F	oxidoreductase activity	GO:0016491	ORF|Verified
Q0105	COB	S000007270	F	transmembrane transporter activity	GO:0022857	ORF|Verified
Q0110	BI2	S000007271	F	hydrolase activity	GO:0016787	ORF|Verified
Q0110	BI2	S000007271	F	nuclease activity	GO:0004518	ORF|Verified
Q0115	BI3	S000007272	F	RNA binding	GO:0003723	ORF|Verified
Q0120	BI4	S000007273	F	RNA binding	GO:0003723	ORF|Verified
Q0130	OLI1	S000007274	F	ATPase activity	GO:0016887	ORF|Verified
Q0130	OLI1	S000007274	F	hydrolase activity	GO:0016787	ORF|Verified
Q0130	OLI1	S000007274	F	transmembrane transporter activity	GO:0022857	ORF|Verified
Q0140	VAR1	S000007275	F	structural constituent of ribosome	GO:0003735	ORF|Verified
Q0140	VAR1	S000007275	F	structural molecule activity	GO:0005198	ORF|Verified
Q0142		S000007276	F	molecular_function	GO:0003674	ORF|Dubious
Q0143		S000007277	F	molecular_function	GO:0003674	ORF|Dubious
Q0144		S000007278	F	molecular_function	GO:0003674	ORF|Dubious
Q0158	21S_RRNA	S000007288	F	structural constituent of ribosome	GO:0003735	rRNA_gene
Q0158	21S_RRNA	S000007288	F	structural molecule activity	GO:0005198	rRNA_gene
Q0160	SCEI	S000007279	F	hydrolase activity	GO:0016787	ORF|Verified
Q0160	SCEI	S000007279	F	nuclease activity	GO:0004518	ORF|Verified
Q0182		S000007280	F	molecular_function	GO:0003674	ORF|Dubious
Q0250	COX2	S000007281	F	oxidoreductase activity	GO:0016491	ORF|Verified
Q0250	COX2	S000007281	F	transmembrane transporter activity	GO:0022857	ORF|Verified
Q0255		S000007282	F	molecular_function	GO:0003674	ORF|Uncharacterized
Q0275	COX3	S000007283	F	oxidoreductase activity	GO:0016491	ORF|Verified
Q0275	COX3	S000007283	F	transmembrane transporter activity	GO:0022857	ORF|Verified
Q0285	RPM1	S000029023	F	hydrolase activity	GO:0016787	ncRNA_gene
Q0285	RPM1	S000029023	F	nuclease activity	GO:0004518	ncRNA_gene
Q0297		S000007284	F	molecular_function	GO:0003674	ORF|Dubious
