"Sample Name","23_Na_He","24_Mg_He","24_Mg_HEHe","31_P_HEHe","34_S_HEHe","39_K_HEHe","39_K_H2","40_Ca_H2","44_Ca_HEHe","55_Mn_He","56_Fe_HEHe","56_Fe_H2","59_Co_He","63_Cu_He","66_Zn_He","95_Mo_He","115_In_He","115_In_HEHe","6_Li ISTD_He","45_Sc ISTD_He","45_Sc ISTD_HEHe","45_Sc ISTD_H2","72_Ge ISTD_He","72_Ge ISTD_HEHe","72_Ge ISTD_H2","209_Bi ISTD_He","209_Bi ISTD_HEHe"
"PL3-P1-A1",124905062.19,154665842.14,194672050.433333,24928444.7566667,5898054.11,306004326.88,1336970443.34667,393892914.02,3470873.62,1015624.97666667,192338.943333333,250089.746666667,421.053333333333,539811.183333333,352593.33,1277246.51666667,496050.586666667,1502450.37333333,3115.58,103922.956666667,179660.82,730414.34,61887.2533333333,107364.8,141628.51,1124015.52333333,1501716.21
"PL3-P1-B1",121068782.633333,151454559.963333,194365952.656667,25111639.5833333,5923269.13333333,307082768.62,1318879766.64333,390529097.826667,3492254.28,1005756.36666667,208538.95,267031.133333333,448.39,539134.813333333,351271.44,1275708.94,495662.36,1504355.92,2968.95333333333,102201.35,179794.266666667,714371.12,62026.9766666667,108641.166666667,139579.013333333,1107961.47666667,1507825.90333333
"PL3-P1-C1",118182972.06,147455370.026667,192408101.576667,25134798.56,5880552.28,306616372.24,1285899721.09,382113639.743333,3474335.58333333,1004461.12333333,197688.646666667,249044.683333333,421.383333333333,531953.08,350616.94,1270568.49,498460.706666667,1520327.32333333,2675.69666666667,102964.57,181414.46,710892.41,64374.2466666667,112832.946666667,141616.453333333,1100718.21,1464898.86333333
"PL3-P1-D1",115483126.01,143337152.306667,191943663.806667,24976388.8833333,5861936.45666667,304823659.586667,1245113282.75333,371554053.01,3443158.90666667,989697.233333333,196714,242736.23,471.063333333333,528283.696666667,348653.463333333,1263108.29333333,489621.39,1492296.55666667,2687.35666666667,99638.62,177084.68,681252.64,64019.3933333333,111762.843333333,137197.426666667,1068891.16666667,1478247.42333333
"PL3-P1-E1",112035141.493333,139410722.366667,187340952.763333,24271342.87,5748958.99,300602021.43,1200458362.74,354027640.446667,3400587.09333333,970712.383333333,184901.68,221734.656666667,387.383333333333,515683.436666667,339349.956666667,1172022.93333333,483877.38,1491464.48666667,2497.40333333333,98286.81,177944.253333333,657477.92,64131.7266666667,112097.523333333,134018.51,1049235.19,1501152
"PL3-P1-A2",124356508.106667,138865387.93,193532823.783333,24908191.2333333,5705788.09,307479788.956667,1168160145.66333,346066098.96,3506844.46333333,981691.896666667,1142497.02666667,1335480.53666667,1152.50333333333,6361.73,341176.46,1208335.11666667,481507.66,1476615.50666667,2389.11,95835.2333333333,175450.126666667,627127.103333333,62620.5866666667,111355.616666667,127901.596666667,1031145.64,1476379.94666667
"PL3-P1-B2",136700108.603333,138078986.83,192706421.573333,24940876,5761904.70333333,307794260.083333,1129899299.49667,341500422.996667,3493062.28,975947.626666667,1005031.42,1090661.44666667,1825.64333333333,6364.74,339704.036666667,1207927.04,480854.02,1471351.56333333,2350.79,95883.9166666667,177964.733333333,612263.966666667,62734.3866666667,112854.806666667,125025.876666667,1026745.19333333,1480724.24333333
"PL3-P1-C2",147407315.546667,136607275.74,191907150.473333,24764096.6533333,5748367.43333333,304644934.203333,1138932372.25333,343113548.026667,3464476.42666667,976674.613333333,994427.153333333,1001041.62,2584.50666666667,8748.88333333333,339416.163333333,1208591.84666667,479321.74,1463703.88666667,2379.12333333333,95713.7566666667,176977.54,624428.103333333,63462.5933333333,112266.28,127495.893333333,1022696.42666667,1468399.13
"PL3-P1-D2",161061144.333333,136741200.183333,191638377.143333,24702813.19,5744064.46,305987223.11,1132306199.64667,335537348.37,3483088.73333333,974761.816666667,956374.08,1047030.65,3226.71,12222.74,338307.806666667,1217033.58333333,473705.69,1456545.98333333,2335.79333333333,94035.4566666667,175508.113333333,610996.973333333,62462.23,111327.42,124177.636666667,1012004.02,1450537.69666667
"PL3-P1-E2",175034323.456667,136985806.85,192220397.136667,24949947.91,5840193.49333333,307403519.36,1157904049.92333,347771935.733333,3491359.23333333,980927.016666667,1022462.12666667,1095703.64,4076.67666666667,21830.8333333333,342031.396666667,1227478.59,483360.226666667,1466809.12,2310.8,96305.8466666667,178077.606666667,630623.793333333,63322.07,112491.306666667,130135.18,1036236.24333333,1468869.54666667
