Sample Name,23_Na_He,24_Mg_He,24_Mg_HEHe,31_P_HEHe,34_S_HEHe,39_K_HEHe,39_K_H2,40_Ca_H2,44_Ca_HEHe,55_Mn_He,56_Fe_HEHe,56_Fe_H2,59_Co_He,63_Cu_He,66_Zn_He,95_Mo_He,115_In_He,115_In_HEHe,6_Li ISTD_He,45_Sc ISTD_He,45_Sc ISTD_HEHe,45_Sc ISTD_H2,72_Ge ISTD_He,72_Ge ISTD_HEHe,72_Ge ISTD_H2,209_Bi ISTD_He,209_Bi ISTD_HEHe
PL4-P1-A1,175064243.5,212848012.4,205166888.1,25764244.18,7772723.32,319719274.7,1742556989,571256960.5,4109639.843,1266027.657,190706.0767,253879.2,514.0633333,625789.98,420174.12,1257102.393,509664.2533,1585464.81,3545.48,123924.62,168141.37,792620.2967,74585.15333,114083.5633,138674.3867,,1549467.38
PL4-P1-B1,176153079.1,214637605.7,204406405.8,25660139.27,7761139.077,319080536,1729897383,559583706.3,4062647.333,1255759.347,199679.74,268449.98,510.0633333,615618.8667,417727.38,1290307.937,507555.5867,1574797.667,3460.493333,123898.28,168686.4233,794745.5567,74489.66667,113639.21,137761.6633,,1543263.68
PL4-P1-C1,173915912.6,213643674.6,204520152.5,25777803.21,7824942.04,319968350.4,1733821707,565772439.4,4053847.077,1261208.38,219575.19,295009.53,494.7266667,617422.89,416476.9467,1270823.77,493515.48,1541975.107,3688.78,121298.1367,165981.7867,781198.66,72718.93,112172.9733,135607.4467,,1511982.743
PL4-P1-D1,176545609.6,213482067.9,204466154.7,25842535.68,7778953.94,321091443.5,1723696542,567734707.4,4063694.387,1238635.63,264647.08,353663.5933,466.3933333,618798.3867,414094.4633,1262478.203,500738.9167,1565234,3685.453333,122556.1767,169463.1567,791642.8133,73797.80333,113581.35,138213.8567,,1540797.87
PL4-P1-E1,177620932,215032999,206228763.6,25890946.19,7785134.893,319800656.1,1724169362,567224091.2,4085039.067,1254016.31,346072.35,464128.1733,486.7266667,624234.5767,414903.3833,1278786.12,496559.5633,1560698.153,3627.13,123675.54,168118.1267,793240.59,73729.93667,112647.2267,137974.04,,1524222.183
PL4-P1-F1,176578749.7,217742434.5,210409496.9,26069936.76,7765380.167,323875530.8,1743734860,570727140,4102347.997,1291050.787,509217.8933,678266.78,491.7266667,633406.4233,423897.1633,1305520.373,494541.0567,1554123.653,3628.803333,123328.9667,167788.4233,788188.1767,73415.77667,113834.15,137953.3433,,1510050.143
PL4-P1-G1,176724120.3,214085443.5,204742150.3,25537552.18,7738911.187,316426074.9,1719802876,560964833.6,4072082.87,1250449.803,1016187.407,1415095.787,494.73,621513.4133,420895.0467,1283698.12,492855.0833,1536221.147,3510.483333,123282.2033,166557.9567,783815.5233,73519.65667,113008.07,137366.6433,,1497168.98
PL4-P1-H1,173692554.3,211970245.7,204018230.3,25492274.65,7749746.77,316332027.6,1698036991,564586327.6,4073512.07,1256574.16,3720633.917,5054256.137,485.06,618012.9067,413965.7667,1277697.107,498143.2033,1551001.973,3533.81,123288.4667,166372.7233,788064.6033,74437.99667,112936.43,138532.7633,,1509143.267
PL4-P1-A2,175339694.1,210129523.5,201182225.9,25264807.4,7614646.26,313157019.3,1710174261,571983922.9,4053399.947,1270976.12,8418742.763,11315523.16,479.7266667,631492.8133,414072.2133,1313524.38,499742.4433,1549850.753,3688.783333,124651.4167,168235.3133,806316.69,74922.81667,113836.5833,142804.7267,,1526362.82
PL4-P1-B2,174866575.7,214981361.2,204750781.4,25705489.31,7685413.5,318242054.2,1741420052,559590412.1,3972794.397,1222670.193,15337883.04,20474763.98,473.7266667,612407.37,406475.2667,1266690.9,514053.3433,1593800.433,3893.74,127352.2567,173923.1633,823239.2533,76568.61667,117288.5267,147159.9033,,1579017.63
PL4-P1-C2,175470260.5,211977801.3,202033959.2,25500221.61,7631025.23,313967773.4,1728887974,566338648.6,3996537.627,1248861.713,37054876.1,51768227.68,479.06,614201.36,410369.7633,1285370.593,489335.2567,1532161.863,3607.116667,122206.87,165933.46,797355.8633,73384.72667,111202.58,142856.7733,,1520247.467
PL4-P1-D2,167288695.9,203366723.6,192171839.4,23732251.45,7267993.17,296709028.6,1640284800,537998717.7,3767783.097,1190049.25,89377974.61,122110874.4,458.0566667,601774.7133,394473.26,1243502.3,494963.8833,1547304.55,3640.46,122843.0667,165507.9233,799369.1767,73355.71667,112958.0467,145076.9367,,1517390.157
PL4-P1-E2,165870419.9,206212214.7,198131250.4,24723272.9,7572595.967,304702505.1,1690962610,568358896.1,3970510.49,1236689.363,180705613.6,253692034.7,504.0633333,643436.72,243386.3833,1288256.62,494126.4433,1533197.073,3658.793333,122616.8633,164665.6567,799139.7467,73676.45333,112667.7967,148008.4433,,1460473.797
PL4-P1-A3,175165812.7,214998874.6,205725401.4,25359944.91,7568843.923,315172287.9,1730876028,563578946.9,3968492.593,1215603.803,2041132.333,2868612.033,464.06,620673.02,12030.56,1294786.437,496391.9667,1533446.157,3742.096667,124066.2,167230.2667,807346.08,73714.05,112633.7733,144761.0533,,1518918.187
