Application: Tecan i-control,,,,Tecan i-control , 1.11.1.0,,,,,,,,
Device: infinite 200Pro,,,,Serial number: 1408001814,,,,Serial number of connected stacker:,,,,
Firmware: V_3.37_07/12_Infinite (Jul 20 2012/13.56.47),,,,MAI, V_3.37_07/12_Infinite (Jul 20 2012/13.56.47),,,,,,,,
,,,,,,,,,,,,
Date:,22/09/2020,,,,,,,,,,,
Time:,19:10:42,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
System,,,,MR559-PC2810,,,,,,,,
User,,,,MR559-PC2810\Administrator,,,,,,,,
Plate,,,,Costar 96 Flat Bottom Transparent Polystyrene Cat. No.: 3361/3590/9018/3591/9017/3641/3628/3370/2507/2509/2503/9017/9018/3641/3598/3599/3585/3595/3300/3474 [COS96ft.pdfx],,,,,,,,
Plate-ID (Stacker),,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Label: Label1,,,,,,,,,,,,
Mode,,,,Absorbance,,,,,,,,
Wavelength,,,,600,nm,,,,,,,
Bandwidth,,,,9,nm,,,,,,,
Number of Flashes,,,,25,,,,,,,,
Settle Time,,,,500,ms,,,,,,,
Start Time:,22/09/2020 19:10:42,,,,,,,,,,,
,,,,,,,,,,,,
,Temperature: 20.6 °C,,,,,,,,,,,
<>,1,2,3,4,5,6,7,8,9,10,11,12
A,0.039000000804663,0.03770000115037,0.038499999791384,0.03830000013113,0.038699999451637,0.03770000115037,0.039099998772144,0.03830000013113,0.038100000470877,0.038800001144409,0.038699999451637,0.039500001817942
B,0.039200000464916,0.142000004649162,0.137899994850159,0.25450000166893,0.083999998867512,0.144299998879433,0.178900003433228,0.198400005698204,0.1908999979496,0.215900003910065,0.19310000538826,0.038499999791384
C,0.219799995422363,0.09009999781847,0.191300004720688,0.160799995064735,0.128600001335144,0.299499988555908,0.195600003004074,0.204899996519089,0.172700002789497,0.268500000238419,0.269400000572205,0.037900000810623
D,0.214599996805191,0.226999998092651,0.270700007677078,0.17569999396801,0.237700000405312,0.039299998432398,0.1858000010252,0.232099995017052,0.156499996781349,0.17569999396801,0.18350000679493,0.038600001484156
E,0.184799998998642,0.127900004386902,0.039000000804663,0.175200000405312,0.141200006008148,0.074600003659725,0.212099999189377,0.265799999237061,0.140300005674362,0.241799995303154,0.147200003266335,0.039299998432398
F,0.037399999797344,0.159600004553795,0.086099997162819,0.23759999871254,0.162300005555153,0.150499999523163,0.27700001001358,0.317299991846085,0.073399998247624,0.25780001282692,0.237900003790855,0.038899999111891
G,0.038600001484156,0.143099993467331,0.171499997377396,0.114799998700619,0.168500006198883,0.181799992918968,0.231299996376038,0.211099997162819,0.041799999773502,0.219300001859665,0.208000004291534,0.038400001823902
H,0.037200000137091,0.040199998766184,0.039299998432398,0.03830000013113,0.038699999451637,0.039700001478195,0.037500001490116,0.039099998772144,0.039500001817942,0.038100000470877,0.03770000115037,0.037799999117851
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
End Time:,22/09/2020 19:12:46,,,,,,,,,,,
