Application: Tecan i-control,,,,Tecan i-control , 1.11.1.0,,,,,,,,
Device: infinite 200Pro,,,,Serial number: 1408001814,,,,Serial number of connected stacker:,,,,
Firmware: V_3.37_07/12_Infinite (Jul 20 2012/13.56.47),,,,MAI, V_3.37_07/12_Infinite (Jul 20 2012/13.56.47),,,,,,,,
,,,,,,,,,,,,
Date:,22/09/2020,,,,,,,,,,,
Time:,19:21:48,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
System,,,,MR559-PC2810,,,,,,,,
User,,,,MR559-PC2810\Administrator,,,,,,,,
Plate,,,,Costar 96 Flat Bottom Transparent Polystyrene Cat. No.: 3361/3590/9018/3591/9017/3641/3628/3370/2507/2509/2503/9017/9018/3641/3598/3599/3585/3595/3300/3474 [COS96ft.pdfx],,,,,,,,
Plate-ID (Stacker),,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Label: Label1,,,,,,,,,,,,
Mode,,,,Absorbance,,,,,,,,
Wavelength,,,,600,nm,,,,,,,
Bandwidth,,,,9,nm,,,,,,,
Number of Flashes,,,,25,,,,,,,,
Settle Time,,,,500,ms,,,,,,,
Start Time:,22/09/2020 19:21:48,,,,,,,,,,,
,,,,,,,,,,,,
,Temperature: 20.9 °C,,,,,,,,,,,
<>,1,2,3,4,5,6,7,8,9,10,11,12
A,0.042899999767542,0.038899999111891,0.03999999910593,0.039099998772144,0.039599999785423,0.039299998432398,0.04109999909997,0.040199998766184,0.040199998766184,0.040399998426437,0.041499998420477,0.040199998766184
B,0.041299998760223,0.290899991989136,0.040399998426437,0.284900009632111,0.333000004291534,0.281300008296967,0.387499988079071,0.34689998626709,0.249799996614456,0.041400000452995,0.300399988889694,0.215800002217293
C,0.284200012683868,0.307900011539459,0.041200000792742,0.331499993801117,0.279300004243851,0.299100011587143,0.247999995946884,0.040199998766184,0.254400014877319,0.040899999439716,0.299400001764297,0.039900001138449
D,0.299299985170364,0.263300001621246,0.258500009775162,0.270799994468689,0.26800000667572,0.261999994516373,0.323300004005432,0.167099997401238,0.228900000452995,0.040699999779463,0.261599987745285,0.03999999910593
E,0.270900011062622,0.262199997901916,0.273099988698959,0.366800010204315,0.282499998807907,0.288800001144409,0.254099994897842,0.111199997365475,0.233999997377396,0.041400000452995,0.039700001478195,0.22409999370575
F,0.254900008440018,0.243599995970726,0.271800011396408,0.319000005722046,0.296600013971329,0.324299991130829,0.217800006270409,0.04109999909997,0.223299995064735,0.287099987268448,0.039900001138449,0.221399992704391
G,0.041000001132488,0.238399997353554,0.039299998432398,0.24940000474453,0.250400006771088,0.276899993419647,0.288500010967255,0.040699999779463,0.261999994516373,0.040800001472235,0.278899997472763,0.211099997162819
H,0.040100000798702,0.041000001132488,0.041000001132488,0.039799999445677,0.04109999909997,0.040399998426437,0.039599999785423,0.040199998766184,0.042599998414517,0.041299998760223,0.040899999439716,0.039700001478195
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
End Time:,22/09/2020 19:23:53,,,,,,,,,,,
