"metal","BioSpecID","element_concentration","actual_AEnorm_conc"
"Ca","Ca_0",0,0.002
"Ca","Ca_2",2,2.207
"Ca","Ca_5",5,5.658
"Ca","Ca_0.1",0.1,0.115
"Ca","Ca_0.01",0.01,0.012
"Ca","Ca_0.5",0.5,0.53
"Ca","Ca_0.05",0.05,0.058
"Ca","Ca_0.2",0.2,0.223
"Ca","Ca_0.02",0.02,0.024
"Cu","Cu_0",0,0.011
"Cu","Cu_10",10,11.197
"Cu","Cu_20",20,22.122
"Cu","Cu_2",2,2.269
"Cu","Cu_5",5,5.662
"Cu","Cu_0.1",0.1,0.125
"Cu","Cu_0.01",0.01,0.022
"Cu","Cu_0.5",0.5,0.582
"Cu","Cu_0.05",0.05,0.074
"Cu","Cu_0.2",0.2,0.237
"Cu","Cu_0.02",0.02,0.035
"Fe","Fe_0",0,0.118
"Fe","Fe_100",100,115.673
"Fe","Fe_10",10,9.185
"Fe","Fe_20",20,23.594
"Fe","Fe_2",2,2.348
"Fe","Fe_50",50,56.327
"Fe","Fe_5",5,5.199
"Fe","Fe_0.1",0.1,0.215
"Fe","Fe_0.01",0.01,0.124
"Fe","Fe_0.5",0.5,0.65
"Fe","Fe_0.05",0.05,0.195
"Fe","Fe_0.2",0.2,0.317
"Fe","Fe_0.02",0.02,0.159
"K","K_10",10,9.698
"K","K_20",20,18.76
"K","K_2",2,2.102
"K","K_50",50,44.619
"K","K_5",5,5.208
"K","K_0.1",0.1,0.107
"K","K_0.01",0.01,0.011
"K","K_0.5",0.5,0.522
"K","K_0.05",0.05,0.052
"K","K_0.2",0.2,0.211
"K","K_0.02",0.02,0.021
"Mg","Mg_0",0,0.001
"Mg","Mg_10",10,9.004
"Mg","Mg_2",2,1.79
"Mg","Mg_5",5,4.514
"Mg","Mg_0.1",0.1,0.097
"Mg","Mg_0.01",0.01,0.012
"Mg","Mg_0.5",0.5,0.457
"Mg","Mg_0.05",0.05,0.045
"Mg","Mg_0.2",0.2,0.187
"Mg","Mg_0.02",0.02,0.018
"Mn","Mn_0",0,0.007
"Mn","Mn_100",100,99.502
"Mn","Mn_10",10,10.016
"Mn","Mn_20",20,19.935
"Mn","Mn_2",2,2.077
"Mn","Mn_50",50,50.166
"Mn","Mn_5",5,4.913
"Mn","Mn_0.1",0.1,0.137
"Mn","Mn_0.01",0.01,0.035
"Mn","Mn_0.5",0.5,0.542
"Mn","Mn_0.05",0.05,0.062
"Mn","Mn_0.2",0.2,0.223
"Mn","Mn_0.02",0.02,0.032
"Mo","Mo_0",0,0.044
"Mo","Mo_100",100,124.854
"Mo","Mo_10",10,11.979
"Mo","Mo_20",20,23.999
"Mo","Mo_2",2,2.42
"Mo","Mo_50",50,60.711
"Mo","Mo_5",5,5.931
"Mo","Mo_0.1",0.1,0.12
"Mo","Mo_0.01",0.01,0.046
"Mo","Mo_0.5",0.5,0.544
"Mo","Mo_0.05",0.05,0.062
"Mo","Mo_0.2",0.2,0.239
"Mo","Mo_0.02",0.02,0.021
"Na","Na_0",0,0.013
"Na","Na_10",10,8.783
"Na","Na_20",20,16.842
"Na","Na_2",2,1.882
"Na","Na_5",5,4.414
"Na","Na_0.1",0.1,0.096
"Na","Na_0.01",0.01,0.02
"Na","Na_0.5",0.5,0.439
"Na","Na_0.05",0.05,0.054
"Na","Na_0.2",0.2,0.182
"Na","Na_0.02",0.02,0.041
"Zn","Zn_0",0,0.029
"Zn","Zn_10",10,11.246
"Zn","Zn_20",20,22.071
"Zn","Zn_2",2,2.421
"Zn","Zn_5",5,6.002
"Zn","Zn_0.1",0.1,0.122
"Zn","Zn_0.01",0.01,0.049
"Zn","Zn_0.010",0.001,0.036
"Zn","Zn_0.5",0.5,0.491
"Zn","Zn_0.05",0.05,0.075
"Zn","Zn_0.2",0.2,0.213
"Zn","Zn_0.02",0.02,0.049
