"Plate","Normalization","element_measured","Plate_Position","element_perturbed","rel_element_concentration_th","value","OD600corrected","SpecOD","Final_Vol_for_ICPMS","Volume_perwell_of_culture_transferred_to_filterplate","ng_perwell","pg_percell","Median.pgpcell.AE.batch","Median.ngpwell.AE.batch","Median.pgpcell.Across.batches","Median.ngpwell.Across.batches","pg_percell_BC","ng_perwell_BC"
"1","Phosphorus","Ca","1_D6","B",0,1000.88086608385,0.629949986934663,0.608646620005973,1.054,2.5,1054.92843285238,0.0462196354196255,0.0631581344086387,1088.63150012798,0.0377673550321853,747.22436816453,0.0276384569730483,724.090963383152
"1","Phosphorus","Ca","1_E3","B",5,981.477177359085,0.479900002479554,0.432007416860396,1.054,2.5,1034.47694493648,0.0638555052259373,0.0631581344086387,1088.63150012798,0.0377673550321853,747.22436816453,0.0381843694277593,710.053293028961
"1","Phosphorus","Ca","1_B7","B",0.05,1027.75431906437,0.585799992084503,0.556673139718498,1.054,2.5,1083.25305229384,0.0518917583768758,0.0631581344086387,1088.63150012798,0.0377673550321853,747.22436816453,0.031030277892372,743.53266230805
"1","Phosphorus","Ca","1_F7","B",2,972.876309805216,0.560750007629395,0.527184237676771,1.054,2.5,1025.4116305347,0.0518686034091128,0.0631581344086387,1088.63150012798,0.0377673550321853,747.22436816453,0.0310164316650182,703.83096359491
"1","Phosphorus","Ca","1_G4","Ca",0.02,221.874656150924,0.47834999859333,0.430182748551837,1.054,2.5,233.855887583074,0.0144965297265142,0.0631581344086387,1088.63150012798,0.0377673550321853,747.22436816453,0.00866864719868934,160.516040386737
"1","Phosphorus","Ca","1_F5","Ca",0.5,749.311006028021,0.480949997901917,0.433243474000863,1.054,2.5,789.773800353534,0.0486115451009708,0.0631581344086387,1088.63150012798,0.0377673550321853,747.22436816453,0.0290687731625008,542.09181793168
"1","Phosphorus","Ca","1_E2","B",0.02,1027.21213386986,0.565299987792969,0.532540485285463,1.054,2.5,1082.68158909883,0.0542146744527024,0.0631581344086387,1088.63150012798,0.0377673550321853,747.22436816453,0.0324193372268054,743.140416424324
"1","Phosphorus","Ca","1_C4","B",50,1015.47507366527,0.530600011348725,0.491691589428927,1.054,2.5,1070.31072764319,0.0580478088652441,0.0631581344086387,1088.63150012798,0.0377673550321853,747.22436816453,0.0347114782091196,734.649196820853
"1","Phosphorus","Ca","1_E4","Ca",0,59.9699428695244,0.404550001025201,0.343305213642928,1.054,2.5,63.2083197844787,0.00490978618229175,0.0631581344086387,1088.63150012798,0.0377673550321853,747.22436816453,0.00293595812502921,43.3854769112836
"1","Phosphorus","Ca","1_D3","B",2,1010.68157980902,0.636749982833862,0.61665159155855,1.054,2.5,1065.25838511871,0.0460663536082595,0.0631581344086387,1088.63150012798,0.0377673550321853,747.22436816453,0.0275467973848727,731.18132596633
"1","Phosphorus","Ca","1_D4","B",100,1029.67156148392,0.590000003576279,0.561617403363734,1.054,2.5,1085.27382580406,0.0515308734762112,0.0631581344086387,1088.63150012798,0.0377673550321853,747.22436816453,0.0308144756319542,744.919698425594
"1","Phosphorus","Ca","1_D5","AllEle",1,1017.61006628558,0.463200002908706,0.412348137138122,1.054,2.5,1072.561009865,0.0693628134911469,0.0631581344086387,1088.63150012798,0.0377673550321853,747.22436816453,0.0414776343170941,736.193765126278
"1","Phosphorus","Ca","1_D8","B",20,1026.59584216985,0.647549986839295,0.629365382289128,1.054,2.5,1082.03201764703,0.045846479563756,0.0631581344086387,1088.63150012798,0.0377673550321853,747.22436816453,0.0274153169163807,742.694557915179
"1","Phosphorus","Ca","1_E7","B",0.5,982.085668544529,0.462849989533424,0.411936100549617,1.054,2.5,1035.11829464593,0.067008340582587,0.0631581344086387,1088.63150012798,0.0377673550321853,747.22436816453,0.0400697046009326,710.493508227001
"1","Phosphorus","Ca","1_C7","B",0.1,997.361711537778,0.542899996042252,0.506171161038729,1.054,2.5,1051.21924396082,0.0553814901559428,0.0631581344086387,1088.63150012798,0.0377673550321853,747.22436816453,0.0331170706752997,721.545018014519
"1","Phosphorus","Ca","1_F10","AllEle",1,1030.87116464062,0.456399992108345,0.404343148043861,1.054,2.5,1086.53820753122,0.0716578291013589,0.0631581344086387,1088.63150012798,0.0377673550321853,747.22436816453,0.0428500097073246,745.787555764909
"1","Phosphorus","Ca","1_C8","B",10,947.990859183595,0.524350017309189,0.484334081390407,1.054,2.5,999.182365579509,0.0550133969627519,0.0631581344086387,1088.63150012798,0.0377673550321853,747.22436816453,0.0328969579939747,685.827492327308
"1","Phosphorus","Ca","1_F4","Ca",0.01,159.112614730184,0.566049993038177,0.533423393266758,1.054,2.5,167.704695925614,0.00838381908467707,0.0631581344086387,1088.63150012798,0.0377673550321853,747.22436816453,0.0050133632803014,115.110609454632
"1","Phosphorus","Ca","1_G7","B",5,1017.23416069828,0.523600012063981,0.483451173409112,1.054,2.5,1072.16480537598,0.0591395016689683,0.0631581344086387,1088.63150012798,0.0377673550321853,747.22436816453,0.0353642896021472,735.921814839209
"1","Phosphorus","Ca","1_D9","Ca",0.05,315.06738592363,0.408649995923043,0.348131737512861,1.054,2.5,332.081024763506,0.0254371924173283,0.0631581344086387,1088.63150012798,0.0377673550321853,747.22436816453,0.0152109539973342,227.936665326301
"1","Phosphorus","Ca","1_D7","B",0.2,984.594687332767,0.592799991369247,0.564913555738313,1.054,2.5,1037.76280044874,0.0489874501992874,0.0631581344086387,1088.63150012798,0.0377673550321853,747.22436816453,0.0292935572135095,712.308667146595
"1","Phosphorus","Ca","1_B9","Ca",0.01,161.769949877678,0.444350004196167,0.390157873247263,1.054,2.5,170.505527171072,0.0116537800968935,0.0631581344086387,1088.63150012798,0.0377673550321853,747.22436816453,0.00696873735279603,117.033068392736
