"element_measured","Plate_Position","element_perturbed","rel_element_concentration_th","SpecOD","ng_perwell_BC"
"Ca","1_G4","Ca",0.02,0.430182748551837,160.516040386737
"Ca","1_F5","Ca",0.5,0.433243474000863,542.09181793168
"Ca","1_E4","Ca",0,0.343305213642928,43.3854769112836
"Ca","1_D5","AllEle",1,0.412348137138122,736.193765126278
"Ca","1_F10","AllEle",1,0.404343148043861,745.787555764909
"Ca","1_F4","Ca",0.01,0.533423393266758,115.110609454632
"Ca","1_D9","Ca",0.05,0.348131737512861,227.936665326301
"Ca","1_B9","Ca",0.01,0.390157873247263,117.033068392736
"Ca","1_G5","Ca",2,0.451313529881814,940.614920825782
"Ca","1_B10","Ca",2,0.487159344830514,908.046430766695
"Ca","1_G8","Ca",0,0.204513050792511,44.1677997812334
"Ca","1_B8","AllEle",1,0.480272725726467,760.914359662397
"Ca","1_G6","AllEle",1,0.499637691093854,748.66118056415
"Ca","1_D2","AllEle",1,0.445486375796966,742.620979598687
"Ca","1_F9","Ca",0.2,0.465969711154568,394.523718614978
"Ca","1_E9","Ca",0.1,0.425179632560634,306.295860047527
"Ca","1_E5","Ca",0.2,0.606056765949736,400.770693379597
"Ca","1_B5","Ca",0.05,0.576862178262897,236.100723251679
"Ca","1_B6","Ca",5,0.434420678795362,1236.0611351715
"Ca","1_C9","Ca",0.02,0.356607597999912,158.704261956909
"Ca","1_G9","Ca",0.5,0.448017359965552,550.616356113891
"Ca","1_B4","AllEle",1,0.6058213214825,753.857195310262
"Ca","1_C5","Ca",0.1,0.555260507998446,306.15513562294
"Fe","1_G4","Ca",0.02,0.430182748551837,47.8800572417921
"Fe","1_D2","AllEle",1,0.445486375796966,53.8569480515737
"Fe","1_C5","Ca",0.1,0.555260507998446,48.8572063033744
"Fe","1_E4","Ca",0,0.343305213642928,55.8018702222056
"Fe","1_E5","Ca",0.2,0.606056765949736,50.8739344246072
"Fe","1_G6","AllEle",1,0.499637691093854,54.7127890072137
"Fe","1_F5","Ca",0.5,0.433243474000863,54.8836477636059
"Fe","1_B6","Ca",5,0.434420678795362,52.9221120850704
"Fe","1_G8","Ca",0,0.204513050792511,59.5009329986677
"Fe","1_B5","Ca",0.05,0.576862178262897,47.4773997457671
"Fe","1_F4","Ca",0.01,0.533423393266758,48.4891036721363
"Fe","1_E9","Ca",0.1,0.425179632560634,62.1189177720642
"Fe","1_F9","Ca",0.2,0.465969711154568,49.9362347906585
"Fe","1_G5","Ca",2,0.451313529881814,56.6371089728552
"Fe","1_F10","AllEle",1,0.404343148043861,55.4486746904531
"Fe","1_B9","Ca",0.01,0.390157873247263,54.24287294808
"Fe","1_C9","Ca",0.02,0.356607597999912,49.6655672826783
"Fe","1_G9","Ca",0.5,0.448017359965552,52.3816055763808
"Fe","1_D9","Ca",0.05,0.348131737512861,51.7608170224807
"Fe","1_B4","AllEle",1,0.6058213214825,56.1698802446747
"Fe","1_B10","Ca",2,0.487159344830514,53.1493798949539
"Fe","1_D5","AllEle",1,0.412348137138122,58.0360032394917
"Fe","1_B8","AllEle",1,0.480272725726467,53.3251288227024
"K","1_G6","AllEle",1,0.499637691093854,40641.38155332
"K","1_F4","Ca",0.01,0.533423393266758,33009.7361406636
"K","1_B10","Ca",2,0.487159344830514,40901.9982051928
"K","1_B8","AllEle",1,0.480272725726467,41453.9577561951
"K","1_G9","Ca",0.5,0.448017359965552,39691.1543596867
