"","ORF","OEgenename","metal","zscore_OEmetallomics"
"1","ART2","ART2","As",0.108139029
"2","HMLALPHA2","HMLALPHA2","As",0.298994208
"3","Q0017","Q0017","As",-0.445810966
"4","Q0080","ATP8","As",0.350709345
"5","Q0085","ATP6","As",-0.282659951
"6","Q0130","OLI1","As",-0.285621536
"7","Q0142","Q0142","As",-0.048315244
"8","Q0143","Q0143","As",0.090608401
"9","Q0160","SCEI","As",-0.038625471
"10","Q0182","Q0182","As",0.650562053
"11","Q0250","COX2","As",-3.498714541
"12","Q0275","COX3","As",-0.210965608
"13","YAL001C","TFC3","As",0.277460521
"14","YAL002W","VPS8","As",0.749122513
"15","YAL004W","YAL004W","As",-0.002300087
"16","YAL005C","SSA1","As",-0.223288542
"17","YAL007C","ERP2","As",-0.792108552
"18","YAL008W","FUN14","As",0.688716843
"19","YAL009W","SPO7","As",-0.246892755
"20","YAL010C","MDM10","As",-0.31834239
"21","YAL011W","SWC3","As",-1.226005436
"22","YAL012W","CYS3","As",0.473826973
"23","YAL016W","TPD3","As",-0.217931675
"24","YAL018C","LDS1","As",-0.365007643
"25","YAL019W","FUN30","As",-1.158204842
"26","YAL020C","ATS1","As",1.022069945
"27","YAL021C","CCR4","As",-0.577117746
"28","YAL022C","FUN26","As",0.302013115
"29","YAL024C","LTE1","As",-0.614619221
"30","YAL026C","DRS2","As",0.30525379
"31","YAL027W","SAW1","As",0.19726424
"32","YAL029C","MYO4","As",0.134457808
"33","YAL030W","SNC1","As",-0.492493332
"34","YAL033W","POP5","As",0.191773624
"35","YAL034C","FUN19","As",0.265231933
"36","YAL034W-A","MTW1","As",2.48040859
"37","YAL035C-A","YAL035C-A","As",-0.404824321
"38","YAL035W","FUN12","As",1.077897303
"39","YAL036C","RBG1","As",0.270533013
"40","YAL037W","YAL037W","As",0.627214035
"41","YAL038C-A","YAL038C-A","As",1.596431083
"42","YAL038W","CDC19","As",-0.610526112
"43","YAL039C","CYC3","As",1.702391638
"44","YAL040C","CLN3","As",0.668658686
"45","YAL041W","CDC24","As",-0.49315314
"46","YAL042W","ERV46","As",0.106051108
"47","YAL043C","PTA1","As",0.689742712
"48","YAL043C-A","YAL043C-A","As",-0.64136907
"49","YAL044W-A","BOL1","As",0.455894406
"50","YAL045C","YAL045C","As",0.431372322
"51","YAL046C","BOL3","As",-0.818674275
"52","YAL047C","SPC72","As",0.906145112
"53","YAL048C","GEM1","As",0.293391345
"54","YAL049C","AIM2","As",-0.141846871
"55","YAL054C","ACS1","As",-1.849807391
"56","YAL055W","PEX22","As",0.727386155
"57","YAL058C-A","YAL058C-A","As",-0.550412319
"58","YAL060W","BDH1","As",0.773658415
"59","YAL061W","BDH2","As",0.943342425
"60","YAL062W","GDH3","As",0.870174315
"61","YAL064C-A","TDA8","As",-1.165220783
"62","YAL064W","YAL064W","As",-1.292006378
"63","YAL064W-B","YAL064W-B","As",-0.1318314
"64","YAL066W","YAL066W","As",-0.912994616
"65","YAL067C","SEO1","As",-0.739932345
"66","YAL068C","PAU8","As",0.309270539
"67","YAL068W-A","YAL068W-A","As",-0.524012075
"68","YAL069W","YAL069W","As",0.546591919
"69","YAR002C-A","ERP1","As",0.246696751
"70","YAR002W","NUP60","As",0.374116723
"71","YAR003W","SWD1","As",-0.559047525
"72","YAR007C","RFA1","As",0.083305397
"73","YAR008W","SEN34","As",0.056754629
"74","YAR015W","ADE1","As",-1.026204471
"75","YAR018C","KIN3","As",-1.058483502
"76","YAR020C","PAU7","As",0.354102325
"77","YAR023C","YAR023C","As",1.190895047
"78","YAR027W","UIP3","As",0.423007127
"79","YAR028W","YAR028W","As",0.131272449
"80","YAR029W","YAR029W","As",-0.259942728
"81","YAR030C","YAR030C","As",-2.306100672
"82","YAR031W","PRM9","As",0.528994921
"83","YAR033W","MST28","As",-0.117722875
"84","YAR035C-A","YAR035C-A","As",-0.396858876
"85","YAR035W","YAT1","As",0.444277059
"86","YAR044W","YAR044W","As",0.287647805
"87","YAR047C","YAR047C","As",0.344589497
"88","YAR060C","YAR060C","As",1.889953947
"89","YAR061W","YAR061W","As",0.079535224
"90","YAR064W","YAR064W","As",0.882008121
"91","YAR070C","YAR070C","As",-0.706937366
"92","YAR071W","PHO11","As",-0.857072677
"93","YAR073W","IMD1","As",-0.558034194
"94","YAR075W","YAR075W","As",0.864418657
"95","YBL001C","ECM15","As",-0.022160294
"96","YBL002W","HTB2","As",0.736610918
"97","YBL003C","HTA2","As",-0.047215947
"98","YBL005W","PDR3","As",-0.240152747
"99","YBL008W","HIR1","As",0.104985279
"100","YBL009W","ALK2","As",0.371462723
"101","YBL010C","YBL010C","As",0.022043635
"102","YBL011W","SCT1","As",-1.387522794
"103","YBL012C","YBL012C","As",0.373977967
"104","YBL013W","FMT1","As",-0.012315994
"105","YBL014C","RRN6","As",-0.58129113
"106","YBL015W","ACH1","As",-0.45753075
"107","YBL016W","FUS3","As",0.486947016
"108","YBL018C","POP8","As",-0.519820957
"109","YBL019W","APN2","As",0.819119522
"110","YBL020W","RFT1","As",0.227836611
"111","YBL021C","HAP3","As",-0.469668839
"112","YBL022C","PIM1","As",1.188100651
"113","YBL023C","MCM2","As",-0.271880061
"114","YBL024W","NCL1","As",1.590935269
"115","YBL025W","RRN10","As",1.094539342
"116","YBL027W","RPL19B","As",2.028750059
"117","YBL028C","YBL028C","As",0.126044283
"118","YBL029C-A","YBL029C-A","As",-0.083375051
"119","YBL029W","YBL029W","As",-0.327432779
"120","YBL030C","PET9","As",-0.806099491
"121","YBL031W","SHE1","As",-0.470430591
"122","YBL032W","HEK2","As",0.076661077
"123","YBL033C","RIB1","As",-0.630197477
"124","YBL034C","STU1","As",0.134890735
"125","YBL035C","POL12","As",-0.564413879
"126","YBL036C","YBL036C","As",0.472448988
"127","YBL037W","APL3","As",0.13614103
"128","YBL038W","MRPL16","As",-0.165752205
"129","YBL039C","URA7","As",-0.624949715
"130","YBL040C","ERD2","As",-0.737686772
"131","YBL041W","PRE7","As",-0.03476418
"132","YBL042C","FUI1","As",0.280108905
"133","YBL043W","ECM13","As",0.48645451
"134","YBL044W","YBL044W","As",-0.253005845
"135","YBL045C","COR1","As",-0.225657725
"136","YBL046W","PSY4","As",-0.124863452
"137","YBL047C","EDE1","As",-0.230329784
"138","YBL048W","RRT1","As",1.102714922
"139","YBL049W","MOH1","As",-0.065701566
"140","YBL050W","SEC17","As",-0.163512727
"141","YBL051C","PIN4","As",-0.912602709
"142","YBL053W","YBL053W","As",0.910508414
"143","YBL054W","TOD6","As",-0.989771866
"144","YBL055C","YBL055C","As",0.130301477
"145","YBL057C","PTH2","As",-0.221101505
"146","YBL058W","SHP1","As",0.210509348
"147","YBL059C-A","CMC2","As",-0.098932874
"148","YBL059W","YBL059W","As",-0.507541409
"149","YBL060W","YEL1","As",-0.521201452
"150","YBL061C","SKT5","As",-0.30127605
"151","YBL062W","YBL062W","As",-0.152677274
"152","YBL063W","KIP1","As",-0.584960157
"153","YBL064C","PRX1","As",0.014873134
"154","YBL065W","YBL065W","As",1.311371717
"155","YBL069W","AST1","As",-0.45693651
"156","YBL070C","YBL070C","As",-1.034294058
"157","YBL071C","YBL071C","As",-0.488522307
"158","YBL071C-B","YBL071C-B","As",-0.832689404
"159","YBL071W-A","KTI11","As",0.137018981
"160","YBL072C","RPS8A","As",-0.402476476
"161","YBL073W","YBL073W","As",1.05322695
"162","YBL074C","AAR2","As",1.440640066
"163","YBL075C","SSA3","As",0.590963252
"164","YBL076C","ILS1","As",-0.145177865
"165","YBL077W","YBL077W","As",-0.395540665
"166","YBL078C","ATG8","As",0.961172594
"167","YBL079W","NUP170","As",-1.692480189
"168","YBL080C","PET112","As",-0.268724133
"169","YBL081W","YBL081W","As",0.163514184
"170","YBL082C","ALG3","As",-0.241065229
"171","YBL083C","YBL083C","As",0.258459645
"172","YBL085W","BOI1","As",0.484170162
"173","YBL086C","YBL086C","As",0.003802672
"174","YBL087C","RPL23A","As",0.277840706
"175","YBL089W","AVT5","As",-5.973368851
"176","YBL090W","MRP21","As",1.38590461
"177","YBL091C","MAP2","As",0.646912374
"178","YBL091C-A","SCS22","As",-1.250287901
"179","YBL092W","RPL32","As",-1.22921265
"180","YBL093C","ROX3","As",0.865125284
"181","YBL094C","YBL094C","As",0.295376484
"182","YBL095W","MRX3","As",0.635283322
"183","YBL096C","YBL096C","As",-2.065822748
"184","YBL097W","BRN1","As",-0.014178271
"185","YBL098W","BNA4","As",0.490542244
"186","YBL099W","ATP1","As",0.123266834
"187","YBL100C","YBL100C","As",-0.7626774
"188","YBL101C","ECM21","As",0.142560758
"189","YBL101W-C","YBL101W-C","As",-0.809393018
"190","YBL102W","SFT2","As",-0.840040331
"191","YBL103C","RTG3","As",-0.24656853
"192","YBL107C","MIX23","As",-0.603997073
"193","YBL108W","YBL108W","As",0.78756403
"194","YBL112C","YBL112C","As",-1.626283191
"195","YBL113W-A","YBL113W-A","As",0.288289883
"196","YBR001C","NTH2","As",0.358094934
"197","YBR002C","RER2","As",-0.227727309
"198","YBR003W","COQ1","As",0.21370567
"199","YBR004C","GPI18","As",-0.129725733
"200","YBR005W","RCR1","As",0.30968379
"201","YBR006W","UGA2","As",-0.413162081
"202","YBR007C","DSF2","As",-1.063221921
"203","YBR008C","FLR1","As",-0.312755767
"204","YBR009C","HHF1","As",-0.210239967
"205","YBR010W","HHT1","As",-0.100916302
"206","YBR011C","IPP1","As",-0.442616727
"207","YBR012C","YBR012C","As",-0.746377578
"208","YBR013C","YBR013C","As",-0.859441358
"209","YBR014C","GRX7","As",-0.544924668
"210","YBR015C","MNN2","As",1.514470471
"211","YBR016W","YBR016W","As",0.868187998
"212","YBR018C","GAL7","As",-1.28898974
"213","YBR019C","GAL10","As",0.761994116
"214","YBR020W","GAL1","As",1.457897648
"215","YBR021W","FUR4","As",-0.309249353
"216","YBR022W","POA1","As",0.782457071
"217","YBR023C","CHS3","As",1.417407146
"218","YBR024W","SCO2","As",0.172667462
"219","YBR025C","OLA1","As",-0.034070926
"220","YBR027C","YBR027C","As",0.840292234
"221","YBR028C","YPK3","As",0.169157198
"222","YBR029C","CDS1","As",-2.232964287
"223","YBR030W","RKM3","As",-0.664604722
"224","YBR032W","YBR032W","As",-0.446710682
"225","YBR033W","EDS1","As",0.946667765
"226","YBR034C","HMT1","As",0.508201567
"227","YBR035C","PDX3","As",-1.504770204
"228","YBR037C","SCO1","As",0.349264369
"229","YBR038W","CHS2","As",-0.864974142
"230","YBR039W","ATP3","As",-0.041147411
"231","YBR040W","FIG1","As",0.44642578
"232","YBR042C","CST26","As",0.079696531
"233","YBR043C","QDR3","As",0.881162583
"234","YBR045C","GIP1","As",0.570316035
"235","YBR047W","FMP23","As",-0.271297679
"236","YBR049C","REB1","As",0.757589268
"237","YBR050C","REG2","As",0.80174177
"238","YBR051W","YBR051W","As",-0.345693865
"239","YBR052C","RFS1","As",0.233994724
"240","YBR053C","YBR053C","As",-0.440104383
"241","YBR055C","PRP6","As",-2.647549449
"242","YBR056W","YBR056W","As",0.106962451
"243","YBR057C","MUM2","As",-0.382889415
"244","YBR058C","UBP14","As",-0.687897226
"245","YBR058C-A","TSC3","As",1.299148184
"246","YBR059C","AKL1","As",0.998322057
