"","Gene","metal perturbation","Navarrete-Perea","Puig_2005","Shakoury-Elizeh_2010","Colour"
"1","ADE8",0.599212451755,-0.848818348835095,NA,NA,"up"
"2","ARG1",1.0450973997551,-1.20943994548788,NA,NA,"up"
"3","ARG3",0.828081115780374,-2.18093071142032,NA,0.632268215499513,"up"
"4","ARG5,6",0.68425354516941,-1.03227477505764,NA,NA,"up"
"5","CIT2",0.585819570821394,-1.28650541094151,NA,NA,"up"
"6","GCV1",1.09945517436834,-1.00936728477941,NA,NA,"up"
"7","GCV2",0.790791855179245,-1.20476202836985,NA,NA,"up"
"8","GCV3",0.65307351577488,-0.79825776206268,NA,NA,"up"
"9","GTS1",-0.73696509983321,0.70628786171646,NA,NA,"down"
"10","HSP150",-1.13699518551742,1.05651328534262,NA,NA,"down"
"11","INO1",-0.795492516412801,0.664356453362921,NA,NA,"down"
"12","MEP2",0.964327024166275,-2.47858119970212,NA,NA,"up"
"13","MTD1",0.60358630161078,-1.7217674878166,NA,NA,"up"
"14","NQM1",-1.24813192387913,0.929758539975727,NA,NA,"down"
"15","RLP7",-1.13836358772206,0.635139467924247,NA,NA,"down"
"16","TDA3",0.607403421696826,-0.75598350226406,NA,NA,"up"
"17","TDH2",0.625910882181549,-0.635505333491348,NA,NA,"up"
"18","TMT1",0.70693847617876,-0.895160601061484,NA,2.24184018356467,"up"
"19","UTP15",-0.80036835139908,0.607630271039674,NA,NA,"down"
