ORF,Ca,Cd,Co,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,S,Zn
YAL002W,3.713319332,3.626679619,0.202072858,0.31828113,-0.63479082,-1.471259614,-0.459466505,2.537841232,-1.165577982,1.234084543,-1.083392698,0.711788706,-0.868954095,0.122749107
YAL004W,-0.726405784,0.408669922,0.487718535,-0.61874416,0.265451793,0.431353146,1.010605231,-0.851773834,0.199366835,-0.071644313,0.351823601,0.643861171,0.208440163,-0.204439387
YAL005C,-0.308008885,0.026010046,0.19335265,0.535513395,-1.122504793,0.667060572,0.635655046,-0.368328316,-0.268640573,0.54496535,0.333883915,0.278822164,-0.18968254,-0.33052833
YAL007C,-0.435947136,-0.09601215,-0.362035122,-0.20762124,0.46770378,0.524995544,-0.077667139,0.266149231,0.589733752,0.023135295,-0.168553957,0.282657889,-0.272790771,-0.119157355
YAL008W,-0.63196781,-0.226443197,-0.24879362,-0.748179057,-0.66342168,0.048359226,-0.016581804,-0.20206039,0.069033073,0.178986223,-0.157656817,-0.124839141,-0.425557906,-0.317611095
YAL009W,-0.670579722,0.313938947,-0.053590465,-0.398961495,-1.157324265,-0.01357586,0.258426564,0.10967043,1.239498581,0.375615203,-0.21590323,0.164718983,0.188113464,-0.495809738
YAL010C,1.388139372,0.720316762,1.084244417,1.320235081,0.566887414,-0.570578615,0.505117171,-0.659388612,-4.081726261,-0.789913614,0.756540738,-0.615344131,0.178431047,0.884242397
YAL011W,0.712707175,0.293404863,-0.100733692,-0.369519556,0.149748824,0.678427968,1.924742726,-1.04947421,-0.431375783,1.160599177,-0.123569473,1.636305249,0.539535012,1.077789186
YAL013W,1.603025239,1.575530885,1.125453738,0.732515019,-0.153816676,-0.274514532,-0.69845843,1.707425057,-0.488207562,-0.669722309,0.40547961,-0.154695495,0.264041127,0.756005357
YAL014C,-0.555232438,0.725112458,0.151600314,-0.676040431,-1.537055197,-0.379251673,0.582729431,-0.268422535,-0.020112069,0.090321417,0.008050171,0.370512262,-0.080904032,-0.483384821
YAL015C,-0.588758068,0.277459318,0.183894928,-0.192247489,-0.084617836,0.212199787,0.452703875,0.074282963,0.648972768,-0.038820979,0.344934454,0.408385136,0.088430854,-0.246399957
YAL016C-B,-0.268264272,0.032337867,-0.373573174,0.17925461,-0.720427283,0.286839161,-0.148144605,0.312643777,-0.502884722,0.104956585,-0.197094694,-0.237665946,0.101842644,-0.959314942
YAL016W,2.102027263,2.229495481,-24.80277437,2.252283964,-0.91669076,-4.628943336,-9.737322779,5.583329876,-3.04137157,2.100907625,-3.210870817,-6.285022804,-2.70229219,-9.08617208
YAL017W,-0.74712795,-0.098479595,-0.044955788,-1.020257409,-0.230269464,0.229459734,0.259921585,-0.47395401,0.686613941,0.511791918,0.118078571,0.119038261,-0.259228975,-0.201578153
YAL018C,-0.623877442,-0.128585021,0.074450228,-0.166859703,0.028806335,0.089786081,0.512715272,-0.166414655,0.182394212,0.455051206,0.008720495,0.574024292,-0.042404185,0.233002358
YAL019W,-0.513258467,-0.169849349,-0.346011837,-0.006124334,-0.851062384,0.083113311,-0.283020742,0.124392166,-0.735277138,0.653581763,-0.044400516,-0.396059986,-0.344807547,-0.619421807
