ORF,As,Ca,Cd,Cl, Co,Cu,Fe, K,Mg,Mn,Mo,Na,Ni,P,S,Se,Zn
ART2,0.108139029,-0.136928096,0.071823896,-0.03602009,0.011545759,-0.367013068,-0.054142883,1.621187034,0.949487094,0.309538549,0.174958058,1.48484514,0.838386838,1.910433537,1.057227964,0.4202346,-0.339177596
HMLALPHA2,0.298994208,2.293899262,0.140441506,-0.45888681,0.750403668,-1.019072563,-0.138024343,-0.91633764,-0.382598842,0.789129708,0.148309528,0.282146675,-0.515258587,-0.173854208,0.132908577,-1.027070351,0.759658406
Q0017,-0.445810966,-0.513541531,-0.395577976,-0.235754879,-0.283931717,-0.410057793,-0.015671496,-0.064100086,-0.259094136,-0.348073521,-0.154506289,0.013689209,-0.398964674,-0.26307971,-0.286637213,-0.607693678,-0.546695229
Q0080,0.350709345,-0.420499055,0.656156089,0.450952103,0.290291118,0.121375587,0.220822883,0.084946468,-0.628256736,0.364132615,0.153110505,-0.117160602,-0.164795155,0.419649004,0.167755615,-0.678683769,-0.181516989
Q0085,-0.282659951,-0.721032038,-1.177781481,-0.00122631,-0.258888744,-1.184358414,-1.593584842,-1.245180069,-0.514586677,-1.366517641,-1.536488514,2.815271146,-0.75070837,-1.225262148,-0.405020105,0.386460892,-1.20706789
Q0130,-0.285621536,-0.18106136,-0.258413532,-0.510440304,-0.083722744,-0.551208113,0.87505531,-0.604184851,-0.208999706,0.221693044,-0.076725127,-0.209478831,0.308836198,-0.692265953,-1.386311099,1.030957558,-0.806426401
Q0142,-0.048315244,0.618084692,0.107182757,-0.227212925,0.044162646,-0.053937438,0.01942756,-0.186179693,0.82781516,0.008865124,0.270018102,-0.506430368,0.103672399,-0.120241325,0.13662256,1.202508824,0.257994607
Q0143,0.090608401,-1.00303877,-0.098137191,-0.36374698,-0.220776314,-0.50753896,-1.042691555,-0.916606129,-0.700348547,-0.448821266,-0.998815763,-0.644502433,-0.6357019,-1.027110969,-0.889369145,-1.206411538,-0.333126592
Q0160,-0.038625471,-0.048106317,0.164362978,-0.045371722,0.34120811,-0.36142615,-0.689141246,0.378576033,0.268173803,0.495378151,-0.697398771,0.207968622,-0.149584709,-0.199013268,-0.239796708,-1.183170185,0.228084426
Q0182,0.650562053,0.92857706,0.692697318,0.119108554,0.233610571,0.142037578,0.048788217,0.490507107,0.770129987,0.675655529,0.245411821,0.377578567,0.096755924,-0.031284963,0.465031046,0.40719996,0.482726146
Q0250,-3.498714541,1.157051966,-2.615998603,0.51154967,-4.783662811,3.466620926,1.120732267,0.515932409,-0.264635569,-3.123909193,1.559422811,0.8853274,0.12220689,1.229935649,0.297904298,1.315112931,1.163436322
Q0275,-0.210965608,-0.220860429,0.067429569,-0.558624819,0.620540762,-0.325266999,0.356038716,-0.284495121,0.771986642,0.554633684,0.084213194,-0.119278496,0.22233299,-0.040836758,-0.850432298,0.579043275,-0.13087246
YAL001C,0.277460521,0.368325724,0.359572539,0.253287602,-0.427992317,0.122502571,-0.102885036,-0.027853808,0.15415508,0.323842033,0.726610058,2.057786209,0.472224443,0.367741046,0.961283245,0.408019962,1.101152068
YAL002W,0.749122513,-0.009363069,2.494260482,0.244181949,0.31831873,0.158699376,1.129197681,0.359784628,-0.266484276,0.49306387,-0.203685578,1.012631056,0.058699793,0.161280341,1.411278876,0.248916872,0.554738181
YAL004W,-0.002300087,1.0654108,-1.074757237,0.463611075,-2.581220273,0.388087492,0.820880204,-1.273574811,-2.029619421,-1.008609544,3.792852545,1.107889908,-0.659744464,-0.606212283,-1.108136681,0.047208758,-0.199811594
