"BioSpecID","element_perturbed","rel_element_concentration_actual","element_measured","ng_perwell_BC","mean_ng_perwell_BC_AE","Ratio_to_AEngperwell"
"Zn 0.01","Zn",0.049,"Ca",1132.66007596376,747.132478041544,1.51600968938307
"Ca 5","Ca",5.658,"Ca",1353.17547901562,747.132478041544,1.81115868843327
"Ca 0.5","Ca",0.53,"Ca",550.616356113891,747.132478041544,0.736972855948145
"Mn 10","Mn",10.016,"Ca",669.160729725555,747.132478041544,0.89563865765764
"Ca 2","Ca",2.207,"Ca",886.629758709237,747.132478041544,1.18671023515583
"K 2","K",2.102,"Ca",689.013280605584,747.132478041544,0.922210318592618
"Ca 0.2","Ca",0.223,"Ca",400.770693379597,747.132478041544,0.536411821408348
"Cu 5","Cu",5.662,"Ca",787.457690421864,747.132478041544,1.05397330937349
"Cu 0.05","Cu",0.074,"Ca",718.147392951346,747.132478041544,0.961204892114747
"Fe 50","Fe",56.327,"Ca",780.934847105167,747.132478041544,1.04524280506749
"K 2","K",2.102,"Ca",716.724346761819,747.132478041544,0.959300214923819
"Ca 0.01","Ca",0.012,"Ca",132.965515976812,747.132478041544,0.177967790030162
"Fe 50","Fe",56.327,"Ca",760.26207189567,747.132478041544,1.01757331429165
"Cu 0.1","Cu",0.125,"Ca",729.521520455419,747.132478041544,0.976428601213685
"Mn 20","Mn",19.935,"Ca",694.299015709883,747.132478041544,0.929285014526268
"K 0.1","K",0.107,"Ca",563.909745597452,747.132478041544,0.754765402617253
"Fe 20","Fe",23.594,"Ca",736.953483171252,747.132478041544,0.986375917030171
"Fe 2","Fe",2.348,"Ca",716.730988971539,747.132478041544,0.959309105194173
"Zn 10","Zn",11.246,"Ca",722.865433194172,747.132478041544,0.967519756454728
"Zn 5","Zn",6.002,"Ca",711.960819316637,747.132478041544,0.952924468205288
"Na 0.2","Na",0.182,"Ca",773.241918415757,747.132478041544,1.03494619915688
"K 5","K",5.208,"Ca",644.853253936032,747.132478041544,0.863104299288907
"Na 0.01","Na",0.02,"Ca",721.790509459923,747.132478041544,0.966081024013237
"Cu 0.01","Cu",0.022,"Ca",669.796395010986,747.132478041544,0.896489464313908
"Zn 0.5","Zn",0.491,"Ca",781.586939737974,747.132478041544,1.04611559891861
"Na 5","Na",4.414,"Ca",700.678533820909,747.132478041544,0.937823685108156
"Fe 0.02","Fe",0.159,"Ca",661.024734179911,747.132478041544,0.884749028596177
"Cu 0.05","Cu",0.074,"Ca",719.039596703021,747.132478041544,0.962399062864777
"Zn 5","Zn",6.002,"Ca",650.762582815113,747.132478041544,0.871013644756757
"Ca 0.05","Ca",0.058,"Ca",248.138028326477,747.132478041544,0.332120521620102
"Mg 0.05","Mg",0.045,"Ca",1239.84967560107,747.132478041544,1.65947768573932
"Mn 5","Mn",4.913,"Ca",669.16173470164,747.132478041544,0.8956400027686
"Fe 0.5","Fe",0.65,"Ca",685.286821864464,747.132478041544,0.917222637223327
"Mo 0","Mo",0.044,"Ca",613.222925885398,747.132478041544,0.820768664069909
"Mn 0.01","Mn",0.035,"Ca",677.502652660603,747.132478041544,0.906803910380845
"Fe 0.05","Fe",0.195,"Ca",642.137264479924,747.132478041544,0.859469081257391
"Ca 0.1","Ca",0.115,"Ca",329.77911110355,747.132478041544,0.441393087298251
"Na 20","Na",16.842,"Ca",605.703182339529,747.132478041544,0.810703857938631
"Zn 10","Zn",11.246,"Ca",787.57519496578,747.132478041544,1.0541305834144
"Cu 0.01","Cu",0.022,"Ca",679.911176798581,747.132478041544,0.91002760123724
"Ca 0.2","Ca",0.223,"Ca",394.523718614978,747.132478041544,0.528050553563328
"Fe 0.5","Fe",0.65,"Ca",679.556932129457,747.132478041544,0.909553462206297
"Cu 0.2","Cu",0.237,"Ca",727.62343986257,747.132478041544,0.973888113885621
"Mn 2","Mn",2.077,"Ca",709.237548074464,747.132478041544,0.949279503862001
"Fe 0.1","Fe",0.215,"Ca",663.781371566853,747.132478041544,0.888438651879813
"Cu 0.02","Cu",0.035,"Ca",727.944269397004,747.132478041544,0.974317528405621
"Fe 0.01","Fe",0.124,"Ca",662.196314800617,747.132478041544,0.886317131516529
"Cu 0.5","Cu",0.582,"Ca",711.357818224867,747.132478041544,0.952117380962406
"Cu 0.02","Cu",0.035,"Ca",751.694178841621,747.132478041544,1.00610561170093
"Mo 0.01","Mo",0.046,"Ca",612.457233582329,747.132478041544,0.819743822658815
"Mo 0.05","Mo",0.062,"Ca",628.890015535006,747.132478041544,0.841738291425255
"Zn 0.02","Zn",0.049,"Ca",1022.67675502888,747.132478041544,1.36880243475645
"Fe 0","Fe",0.118,"Ca",640.336482468955,747.132478041544,0.857058823285888
"K 0.2","K",0.211,"Ca",610.162546330077,747.132478041544,0.8166724968636
"Ca 0.01","Ca",0.012,"Ca",117.033068392736,747.132478041544,0.156642994157494
"Na 0.5","Na",0.439,"Ca",696.114609943438,747.132478041544,0.931715097927695
"Ca 0.05","Ca",0.058,"Ca",227.936665326301,747.132478041544,0.305081992853249
"Na 0","Na",0.013,"Ca",754.680408560858,747.132478041544,1.01010253300606
"Mo 0.02","Mo",0.021,"Ca",612.664347802888,747.132478041544,0.820021034835566
"Zn 0.05","Zn",0.075,"Ca",1061.40354679453,747.132478041544,1.42063633691415
"Cu 0","Cu",0.011,"Ca",640.304671224988,747.132478041544,0.85701624550363
"Cu 10","Cu",11.197,"Ca",881.158042536665,747.132478041544,1.17938661272823
"Mn 20","Mn",19.935,"Ca",679.655204567153,747.132478041544,0.909684995020871
"Ca 0.1","Ca",0.115,"Ca",306.295860047527,747.132478041544,0.409961913114016
"Fe 0","Fe",0.118,"Ca",651.751240641037,747.132478041544,0.872336914531503
"Cu 10","Cu",11.197,"Ca",863.2685403632,747.132478041544,1.15544239573962
"Mo 10","Mo",11.979,"Ca",864.368957212344,747.132478041544,1.15691524945899
"Mn 100","Mn",99.502,"Ca",714.257627317616,747.132478041544,0.955998632518154
"Cu 5","Cu",5.662,"Ca",812.617348518715,747.132478041544,1.08764827176142
"Fe 20","Fe",23.594,"Ca",741.611749739875,747.132478041544,0.992610777253131
"Mn 0.02","Mn",0.032,"Ca",701.438945914289,747.132478041544,0.93884145921881
"Zn 20","Zn",22.071,"Ca",758.168511432898,747.132478041544,1.01477118679178
"Fe 5","Fe",5.199,"Ca",705.005343712811,747.132478041544,0.943614906904916
"Cu 20","Cu",22.122,"Ca",809.514292931287,747.132478041544,1.0834949847894
"K 10","K",9.698,"Ca",581.965866933332,747.132478041544,0.778932631143057
"Cu 0.2","Cu",0.237,"Ca",702.244586414404,747.132478041544,0.939919769322831
"Na 10","Na",8.783,"Ca",692.260260422613,747.132478041544,0.926556241052769
"Zn 2","Zn",2.421,"Ca",639.530136699082,747.132478041544,0.855979569213054
"Fe 0.05","Fe",0.195,"Ca",653.92748785645,747.132478041544,0.875249714174637
"Fe 0","Fe",0.118,"Ca",639.249603964329,747.132478041544,0.855604089973431
"Mg 2","Mg",1.79,"Ca",611.200072903383,747.132478041544,0.818061175048258
"Cu 0.1","Cu",0.125,"Ca",718.529153072478,747.132478041544,0.961715859222124
"Zn 20","Zn",22.071,"Ca",839.08198475194,747.132478041544,1.12306988307003
"Mn 0.02","Mn",0.032,"Ca",655.85198089089,747.132478041544,0.877825553254053
"Mo 5","Mo",5.931,"Ca",839.991596105103,747.132478041544,1.12428735303673
"Mo 0.01","Mo",0.046,"Ca",636.755877307063,747.132478041544,0.852266359744109
"Fe 0.01","Fe",0.124,"Ca",663.327679722072,747.132478041544,0.887831407705433
"Ca 0","Ca",0.002,"Ca",44.1677997812334,747.132478041544,0.0591164232306034
"Fe 10","Fe",9.185,"Ca",719.347128410596,747.132478041544,0.962810678898899
"Ca 0.01","Ca",0.012,"Ca",115.110609454632,747.132478041544,0.154069877615775
"Fe 20","Fe",23.594,"Ca",776.033956014381,747.132478041544,1.03868320387918
"Na 20","Na",16.842,"Ca",716.545917592875,747.132478041544,0.959061396274935
"Ca 0","Ca",0.002,"Ca",58.662745876856,747.132478041544,0.0785171942071485
"Mo 0.5","Mo",0.544,"Ca",648.941011694441,747.132478041544,0.868575561586492
"Cu 0","Cu",0.011,"Ca",634.094876506752,747.132478041544,0.848704741318303
"Mo 2","Mo",2.42,"Ca",715.878272571555,747.132478041544,0.958167786318277
"Ca 0.2","Ca",0.223,"Ca",434.21561841126,747.132478041544,0.581176205255416
"Zn 0.02","Zn",0.049,"Ca",1283.38682985937,747.132478041544,1.71775002101837
"Zn 0.1","Zn",0.122,"Ca",1015.86860252725,747.132478041544,1.35969005816765
"Fe 5","Fe",5.199,"Ca",715.357489310418,747.132478041544,0.957470743589655
"Mn 0.5","Mn",0.542,"Ca",702.839582689362,747.132478041544,0.940716142512923
"Na 0.5","Na",0.439,"Ca",734.426928606009,747.132478041544,0.982994248263923
"K 10","K",9.698,"Ca",611.048145165199,747.132478041544,0.817857827258344
"Zn 0.01","Zn",0.049,"Ca",1193.56237434279,747.132478041544,1.59752441423973
"Ca 0.02","Ca",0.024,"Ca",160.516040386737,747.132478041544,0.214842809146107
"Na 10","Na",8.783,"Ca",692.522932520104,747.132478041544,0.926907814709664
"Cu 2","Cu",2.269,"Ca",726.41110132168,747.132478041544,0.972265458497828
"Mn 0","Mn",0.007,"Ca",670.169139362948,747.132478041544,0.896988364258585
"Mo 5","Mo",5.931,"Ca",777.786215922618,747.132478041544,1.04102851740755
"Fe 0.5","Fe",0.65,"Ca",700.210001588072,747.132478041544,0.937196577805759
"Ca 0.02","Ca",0.024,"Ca",173.39341893254,747.132478041544,0.232078545677811
"Ca 0.02","Ca",0.024,"Ca",158.704261956909,747.132478041544,0.21241783300991
"Fe 2","Fe",2.348,"Ca",700.807435494926,747.132478041544,0.937996213646006
