"BioSpecID","element_perturbed","rel_element_concentration_actual","element_measured","ng_perwell_BC","mean_ng_perwell_BC_AE","Ratio_to_AEngperwell"
"Ca 5","Ca",5.658,"Ca",1236.0611351715,747.132478041544,1.65440691108969
"Fe 20","Fe",23.594,"Ca",741.611749739875,747.132478041544,0.992610777253131
"Ca 2","Ca",2.207,"Ca",908.046430766695,747.132478041544,1.21537539520026
"Cu 0.5","Cu",0.582,"Ca",735.938663096035,747.132478041544,0.985017630374132
"Mn 50","Mn",50.166,"Ca",647.878404545435,747.132478041544,0.867153314287336
"Zn 0.2","Zn",0.213,"Ca",917.657534296669,747.132478041544,1.22823938359917
"Na 0.5","Na",0.439,"Ca",696.114609943438,747.132478041544,0.931715097927695
"K 0.1","K",0.107,"Ca",563.909745597452,747.132478041544,0.754765402617253
"Mn 0.2","Mn",0.223,"Ca",685.354919373303,747.132478041544,0.917313782382773
"Cu 0.5","Cu",0.582,"Ca",711.357818224867,747.132478041544,0.952117380962406
"Zn 0.5","Zn",0.491,"Ca",781.586939737974,747.132478041544,1.04611559891861
"Cu 0.01","Cu",0.022,"Ca",669.796395010986,747.132478041544,0.896489464313908
"K 5","K",5.208,"Ca",644.853253936032,747.132478041544,0.863104299288907
"Na 2","Na",1.882,"Ca",808.850833489375,747.132478041544,1.08260697702449
"Cu 2","Cu",2.269,"Ca",726.41110132168,747.132478041544,0.972265458497828
"Ca 0.1","Ca",0.115,"Ca",306.295860047527,747.132478041544,0.409961913114016
"Cu 20","Cu",22.122,"Ca",818.05841401192,747.132478041544,1.09493086976528
"K 10","K",9.698,"Ca",581.965866933332,747.132478041544,0.778932631143057
"Na 0.05","Na",0.054,"Ca",778.62686905221,747.132478041544,1.04215369019056
"Zn 0.02","Zn",0.049,"Ca",1128.21474815558,747.132478041544,1.51005983719643
"Ca 0.02","Ca",0.024,"Ca",158.704261956909,747.132478041544,0.21241783300991
"Cu 0.05","Cu",0.074,"Ca",724.817247675106,747.132478041544,0.970132163943759
"Mn 2","Mn",2.077,"Ca",709.237548074464,747.132478041544,0.949279503862001
"Na 5","Na",4.414,"Ca",656.301426405527,747.132478041544,0.878427113924812
"Zn 0.05","Zn",0.075,"Ca",1061.40354679453,747.132478041544,1.42063633691415
"Cu 0.05","Cu",0.074,"Ca",719.039596703021,747.132478041544,0.962399062864777
"Mn 50","Mn",50.166,"Ca",646.956010803167,747.132478041544,0.865918735722787
"Ca 0.5","Ca",0.53,"Ca",550.616356113891,747.132478041544,0.736972855948145
"Fe 5","Fe",5.199,"Ca",715.357489310418,747.132478041544,0.957470743589655
"Cu 0.5","Cu",0.582,"Ca",716.944707330612,747.132478041544,0.959595156684845
"Mn 20","Mn",19.935,"Ca",694.299015709883,747.132478041544,0.929285014526268
"Fe 20","Fe",23.594,"Ca",776.033956014381,747.132478041544,1.03868320387918
"Zn 0.1","Zn",0.122,"Ca",1009.99698775077,747.132478041544,1.35183119116742
"Ca 0.5","Ca",0.53,"Ca",578.65064744623,747.132478041544,0.774495373247653
"Zn 10","Zn",11.246,"Ca",787.57519496578,747.132478041544,1.0541305834144
"K 2","K",2.102,"Ca",689.013280605584,747.132478041544,0.922210318592618
"Mo 0.2","Mo",0.239,"Ca",609.341084530485,747.132478041544,0.81557301072997
"Na 5","Na",4.414,"Ca",700.678533820909,747.132478041544,0.937823685108156
"Na 10","Na",8.783,"Ca",655.188148523221,747.132478041544,0.876937046346403
"Mn 0","Mn",0.007,"Ca",642.278032285047,747.132478041544,0.859657492026914
"Zn 20","Zn",22.071,"Ca",839.08198475194,747.132478041544,1.12306988307003
"Ca 0.01","Ca",0.012,"Ca",115.110609454632,747.132478041544,0.154069877615775
"Mo 2","Mo",2.42,"Ca",715.878272571555,747.132478041544,0.958167786318277
"Cu 0.2","Cu",0.237,"Ca",702.244586414404,747.132478041544,0.939919769322831
"Mg 0.2","Mg",0.187,"Ca",949.788844505091,747.132478041544,1.27124555874585
"Na 2","Na",1.882,"Ca",673.21197845195,747.132478041544,0.901061054415193
"Zn 0.010","Zn",0.036,"Ca",1167.75374127908,747.132478041544,1.56298083084289
"Mo 0.02","Mo",0.021,"Ca",617.473951875226,747.132478041544,0.826458452848695
"Cu 20","Cu",22.122,"Ca",797.894369617721,747.132478041544,1.06794229011331
"Fe 10","Fe",9.185,"Ca",731.569231785651,747.132478041544,0.979169361909298
"Na 0.2","Na",0.182,"Ca",773.241918415757,747.132478041544,1.03494619915688
"Na 20","Na",16.842,"Ca",605.703182339529,747.132478041544,0.810703857938631
"Mn 0.02","Mn",0.032,"Ca",701.438945914289,747.132478041544,0.93884145921881
"Zn 20","Zn",22.071,"Ca",730.540092124466,747.132478041544,0.977791909193171
"Fe 0.5","Fe",0.65,"Ca",679.556932129457,747.132478041544,0.909553462206297
"Mo 0.1","Mo",0.12,"Ca",621.946451215629,747.132478041544,0.83244467279208
"Mg 0.5","Mg",0.457,"Ca",905.865436558776,747.132478041544,1.21245624194161
"K 0.5","K",0.522,"Ca",684.682940310819,747.132478041544,0.916414371525618
"Fe 0.2","Fe",0.317,"Ca",670.417860587942,747.132478041544,0.897321265360202
"Zn 10","Zn",11.246,"Ca",722.865433194172,747.132478041544,0.967519756454728
"Ca 0.01","Ca",0.012,"Ca",132.965515976812,747.132478041544,0.177967790030162
"Ca 0","Ca",0.002,"Ca",58.662745876856,747.132478041544,0.0785171942071485
"Cu 0","Cu",0.011,"Ca",634.094876506752,747.132478041544,0.848704741318303
"K 5","K",5.208,"Ca",642.814579135137,747.132478041544,0.860375633542454
"Mn 0.01","Mn",0.035,"Ca",727.361091046421,747.132478041544,0.973536972924869
"Zn 5","Zn",6.002,"Ca",650.762582815113,747.132478041544,0.871013644756757
"Cu 0","Cu",0.011,"Ca",709.184013456744,747.132478041544,0.949207850414596
"Ca 0.02","Ca",0.024,"Ca",160.516040386737,747.132478041544,0.214842809146107
"Cu 2","Cu",2.269,"Ca",757.880812939759,747.132478041544,1.01438611653771
"K 0.2","K",0.211,"Ca",590.750213008877,747.132478041544,0.790690045435327
"Fe 50","Fe",56.327,"Ca",737.5755564044,747.132478041544,0.987208531394331
"Ca 0","Ca",0.002,"Ca",44.1677997812334,747.132478041544,0.0591164232306034
"Ca 0.2","Ca",0.223,"Ca",434.21561841126,747.132478041544,0.581176205255416
"Mo 0","Mo",0.044,"Ca",613.222925885398,747.132478041544,0.820768664069909
"Cu 0.2","Cu",0.237,"Ca",727.62343986257,747.132478041544,0.973888113885621
"Na 10","Na",8.783,"Ca",692.522932520104,747.132478041544,0.926907814709664
"Cu 0.02","Cu",0.035,"Ca",727.944269397004,747.132478041544,0.974317528405621
