Protein Id,Gene Symbol,Description,Group ID,Number of peptides,Collapsed,Parsimony,FC_0h,FC_4h,FC_6h,FC_12h,pvalue_ttest_12h_vs_0h
YMR027W,YMR027W,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and cytoplasm; YMR027W is not an essential gene,336,29,C,UR,1,2.43499121,2.630472248,2.902533725,7.15825E-08
YGR201C,YGR201C,Putative protein of unknown function,2778,6,C,UR,1,1.360038985,3.565417911,12.35167715,2.91481E-07
YJL061W,NUP82,"Nucleoporin, subunit of the nuclear pore complex (NPC); forms a subcomplex with Gle2p, Nup159p, Nsp1p, and Nup116p and is required for proper localization of Nup116p in the NPC",2008,10,C,UR,1,1.56004701,1.591293665,1.725771025,3.74091E-07
YHR008C,SOD2,"Mitochondrial manganese superoxide dismutase, protects cells against oxygen toxicity; phosphorylated",676,13,C,UR,1,0.334556428,0.394400145,0.549734679,6.14011E-07
YMR120C,ADE17,"Enzyme of 'de novo' purine biosynthesis containing both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities, isozyme of Ade16p; ade16 ade17 mutants require adenine and histidine",447,33,C,UR,1,0.183028184,0.177609919,0.156530913,6.76934E-07
YIR038C,GTT1,"ER associated glutathione S-transferase capable of homodimerization; expression induced during the diauxic shift and throughout stationary phase; functional overlap with Gtt2p, Grx1p, and Grx2p",2151,9,C,UR,1,0.563223926,0.885804626,2.445545202,7.11527E-07
YJR016C,ILV3,"Dihydroxyacid dehydratase, catalyzes third step in the common pathway leading to biosynthesis of branched-chain amino acids",1002,51,C,UR,1,0.3345248,0.292887409,0.239262342,7.2033E-07
YDR232W,HEM1,"5-aminolevulinate synthase, catalyzes the first step in the heme biosynthetic pathway; an N-terminal signal sequence is required for localization to the mitochondrial matrix; expression is regulated by Hap2p-Hap3p",462,7,C,UR,1,0.754403551,0.72850855,0.566564409,7.34313E-07
YOR377W,ATF1,Alcohol acetyltransferase with potential roles in lipid and sterol metabolism; responsible for the major part of volatile acetate ester production during fermentation,3032,5,C,UR,1,3.940914244,4.039166802,4.020007482,8.3881E-07
YOR187W,TUF1,"Mitochondrial translation elongation factor Tu; comprises both GTPase and guanine nucleotide exchange factor activities, while these activities are found in separate proteins in S. pombe and humans",2461,31,C,UR,1,0.481237949,0.509602484,0.513072518,8.59156E-07
YBR265W,TSC10,"3-ketosphinganine reductase, catalyzes the second step in phytosphingosine synthesis, essential for growth in the absence of exogenous dihydrosphingosine or phytosphingosine, member of short chain dehydrogenase/reductase protein family",2922,1,C,UR,1,1.966395965,0.830491548,0.402040345,1.0103E-06
YBR092C,PHO3,"Constitutively expressed acid phosphatase similar to Pho5p; brought to the cell surface by transport vesicles; hydrolyzes thiamin phosphates in the periplasmic space, increasing cellular thiamin uptake; expression is repressed by thiamin",1662,17,C,UR,1,0.195469415,0.182406912,0.147259748,1.09329E-06
YGR155W,CYS4,"Cystathionine beta-synthase, catalyzes synthesis of cystathionine from serine and homocysteine, the first committed step in cysteine biosynthesis; responsible for hydrogen sulfide generation; mutations in human ortholog cause homocystinuria",863,68,C,UR,1,0.630737366,0.617076205,0.549863311,1.11255E-06
YOR164C,GET4,Protein with a role in insertion of tail-anchored proteins into the ER membrane; forms a complex with Mdy2p; highly conserved across species and homologous to human gene C7orf20,531,9,C,UR,1,1.891139072,1.982422829,2.168704348,1.3386E-06
YGL129C,RSM23,"Mitochondrial ribosomal protein of the small subunit, has similarity to mammalian apoptosis mediator proteins; null mutation prevents induction of apoptosis by overproduction of metacaspase Mca1p",2302,8,C,UR,1,0.621622905,0.589968494,0.544750853,1.47691E-06
YGL156W,AMS1,"Vacuolar alpha mannosidase, involved in free oligosaccharide (fOS) degradation; delivered to the vacuole in a novel pathway separate from the secretory pathway",278,35,C,UR,1,1.632989121,2.865578179,5.489834511,1.60727E-06
YDL215C,GDH2,"NAD(+)-dependent glutamate dehydrogenase, degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels",2287,9,C,UR,1,1.772052091,2.387804421,4.099568769,1.73094E-06
YNL239W,LAP3,Cysteine aminopeptidase with homocysteine-thiolactonase activity; protects cells against homocysteine toxicity; has bleomycin hydrolase activity in vitro; transcription is regulated by galactose via Gal4p; orthologous to human BLMH,1390,27,C,UR,1,2.179810906,2.565147514,2.72091103,1.82661E-06
YGL255W,ZRT1,"High-affinity zinc transporter of the plasma membrane, responsible for the majority of zinc uptake; transcription is induced under low-zinc conditions by the Zap1p transcription factor",1798,11,C,UR,1,0.365538868,0.247981875,0.13188877,2.15445E-06
