"ORF","Reactome.term"
"Q0105","The citric acid (TCA) cycle and respiratory electron transport"
"Q0105","Metabolism"
"Q0105","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins."
"Q0105","Respiratory electron transport"
"Q0120","The citric acid (TCA) cycle and respiratory electron transport"
"Q0120","Metabolism"
"Q0120","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins."
"Q0120","Respiratory electron transport"
"YAL001C","RNA Polymerase III Transcription"
"YAL001C","Gene expression (Transcription)"
"YAL001C","RNA Polymerase III Transcription Initiation"
"YAL001C","RNA Polymerase III Transcription Initiation From Type 1 Promoter"
"YAL001C","RNA Polymerase III Transcription Initiation From Type 2 Promoter"
"YAL003W","Eukaryotic Translation Elongation"
"YAL003W","Metabolism of proteins"
"YAL003W","Translation"
"YAL005C","Innate Immune System"
"YAL005C","Immune System"
"YAL005C","Membrane Trafficking"
"YAL005C","Cellular responses to stress"
"YAL005C","Regulation of HSF1-mediated heat shock response"
"YAL005C","HSP90 chaperone cycle for steroid hormone receptors (SHR)"
"YAL005C","Cellular response to heat stress"
"YAL005C","Attenuation phase"
"YAL005C","HSF1-dependent transactivation"
"YAL005C","Vesicle-mediated transport"
"YAL005C","Neutrophil degranulation"
"YAL005C","Clathrin-mediated endocytosis"
"YAL005C","Cellular responses to external stimuli"
"YAL007C","Membrane Trafficking"
"YAL007C","Vesicle-mediated transport"
"YAL007C","COPI-dependent Golgi-to-ER retrograde traffic"
"YAL007C","Intra-Golgi and retrograde Golgi-to-ER traffic"
"YAL007C","Golgi-to-ER retrograde transport"
"YAL008W","Macroautophagy"
"YAL008W","Mitophagy"
"YAL008W","Receptor Mediated Mitophagy"
"YAL008W","Autophagy"
"YAL012W","Metabolism"
"YAL012W","Degradation of cysteine and homocysteine"
"YAL012W","Cysteine formation from homocysteine"
"YAL012W","Sulfur amino acid metabolism"
"YAL012W","Metabolism of amino acids and derivatives"
"YAL016W","PIP3 activates AKT signaling"
"YAL016W","Cytokine Signaling in Immune system"
"YAL016W","Adaptive Immune System"
"YAL016W","Signal Transduction"
"YAL016W","Cell Cycle"
"YAL016W","Toll Like Receptor 4 (TLR4) Cascade"
"YAL016W","MyD88:MAL(TIRAP) cascade initiated on plasma membrane"
"YAL016W","MyD88-independent TLR4 cascade "
"YAL016W","Signaling by NTRKs"
"YAL016W","Toll Like Receptor 9 (TLR9) Cascade"
"YAL016W","Toll Like Receptor 10 (TLR10) Cascade"
"YAL016W","Toll Like Receptor 3 (TLR3) Cascade"
"YAL016W","Toll Like Receptor 5 (TLR5) Cascade"
"YAL016W","Toll Like Receptor TLR1:TLR2 Cascade"
"YAL016W","Toll Like Receptor 7/8 (TLR7/8) Cascade"
"YAL016W","Toll Like Receptor TLR6:TLR2 Cascade"
"YAL016W","Innate Immune System"
"YAL016W","Immune System"
"YAL016W","Toll-like Receptor Cascades"
"YAL016W","Toll Like Receptor 2 (TLR2) Cascade"
"YAL016W","Signaling by NTRK1 (TRKA)"
"YAL016W","Nuclear Events (kinase and transcription factor activation)"
"YAL016W","ERK/MAPK targets"
"YAL016W","Negative regulation of the PI3K/AKT network"
"YAL016W","ERKs are inactivated"
"YAL016W","Costimulation by the CD28 family"
"YAL016W","CTLA4 inhibitory signaling"
"YAL016W","Interleukin-17 signaling"
"YAL016W","Signaling by Interleukins"
"YAL016W","MAPK targets/ Nuclear events mediated by MAP kinases"
"YAL016W","MAP kinase activation"
"YAL016W","Mitotic G2-G2/M phases"
"YAL016W","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
"YAL016W","Cyclin A/B1/B2 associated events during G2/M transition"
"YAL016W","G2/M Transition"
"YAL016W","Cell Cycle, Mitotic"
"YAL016W","Metabolism of RNA"
"YAL016W","Intracellular signaling by second messengers"
"YAL016W","Signaling by Receptor Tyrosine Kinases"
"YAL016W","Nonsense-Mediated Decay (NMD)"
"YAL016W","TRIF(TICAM1)-mediated TLR4 signaling "
"YAL016W","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation"
"YAL016W","MyD88 dependent cascade initiated on endosome"
"YAL016W","MyD88 cascade initiated on plasma membrane"
"YAL016W","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
"YAL024C","Hemostasis"
"YAL024C","Adaptive Immune System"
"YAL024C","Signal Transduction"
"YAL024C","Immune System"
"YAL024C","Integrin alphaIIb beta3 signaling"
"YAL024C","Rap1 signalling"
"YAL024C","Platelet activation, signaling and aggregation"
"YAL024C","Platelet Aggregation (Plug Formation)"
"YAL024C","Integrin signaling"
"YAL026C","Innate Immune System"
"YAL026C","Immune System"
"YAL026C","Transport of small molecules"
"YAL026C","Neutrophil degranulation"
"YAL026C","Ion transport by P-type ATPases"
"YAL026C","Ion channel transport"
"YAL029C","Gap junction trafficking and regulation"
"YAL029C","Gap junction trafficking"
"YAL029C","Gap junction degradation"
"YAL029C","Membrane Trafficking"
"YAL029C","Vesicle-mediated transport"
"YAL030W","Innate Immune System"
"YAL030W","Immune System"
"YAL030W","Membrane Trafficking"
"YAL030W","trans-Golgi Network Vesicle Budding"
"YAL030W","Golgi Associated Vesicle Biogenesis"
"YAL030W","Vesicle-mediated transport"
"YAL030W","Neutrophil degranulation"
"YAL030W","Retrograde transport at the Trans-Golgi-Network"
"YAL030W","Intra-Golgi and retrograde Golgi-to-ER traffic"
"YAL030W","Cargo recognition for clathrin-mediated endocytosis"
"YAL030W","Clathrin-mediated endocytosis"
"YAL030W","Protein localization"
"YAL030W","Insertion of tail-anchored proteins into the endoplasmic reticulum membrane"
"YAL035W","Metabolism of proteins"
"YAL035W","Eukaryotic Translation Initiation"
"YAL035W","GTP hydrolysis and joining of the 60S ribosomal subunit"
"YAL035W","Cap-dependent Translation Initiation"
"YAL035W","Translation"
"YAL038W","Metabolism"
"YAL038W","Innate Immune System"
"YAL038W","Immune System"
"YAL038W","Neutrophil degranulation"
"YAL038W","Glycolysis"
"YAL038W","Glucose metabolism"
"YAL038W","Metabolism of carbohydrates"
"YAL040C","Cell Cycle"
"YAL040C","Orc1 removal from chromatin"
"YAL040C","CDK-mediated phosphorylation and removal of Cdc6"
"YAL040C","Switching of origins to a post-replicative state"
"YAL040C","Synthesis of DNA"
"YAL040C","S Phase"
"YAL040C","Cell Cycle, Mitotic"
"YAL040C","DNA Replication"
"YAL040C","Cyclin A:Cdk2-associated events at S phase entry"
"YAL043C","Processing of Capped Intronless Pre-mRNA"
"YAL043C","Processing of Intronless Pre-mRNAs"
"YAL043C","Metabolism of RNA"
"YAL044C","Metabolism"
"YAL044C","Glyoxylate metabolism and glycine degradation"
"YAL044C","Glycine degradation"
"YAL044C","Metabolism of amino acids and derivatives"
"YAL048C","Signal Transduction"
"YAL048C","Signaling by Rho GTPases"
"YAL048C","Rho GTPase cycle"
"YAL054C","Metabolism"
"YAL054C","Mitochondrial biogenesis"
"YAL054C","Organelle biogenesis and maintenance"
"YAL054C","Biological oxidations"
"YAL054C","Phase I - Functionalization of compounds"
"YAL054C","Transcriptional activation of mitochondrial biogenesis"
"YAL054C","Ethanol oxidation"
"YAL058W","Metabolism of proteins"
"YAL058W","Asparagine N-linked glycosylation"
"YAL058W","N-glycan trimming in the ER and Calnexin/Calreticulin cycle"
"YAL058W","Post-translational protein modification"
"YAL058W","Calnexin/calreticulin cycle"
"YAR002C-A","Membrane Trafficking"
"YAR002C-A","Vesicle-mediated transport"
"YAR002C-A","COPI-dependent Golgi-to-ER retrograde traffic"
"YAR002C-A","Intra-Golgi and retrograde Golgi-to-ER traffic"
"YAR002C-A","Golgi-to-ER retrograde transport"
"YAR007C","Translesion synthesis by REV1"
"YAR007C","Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template"
"YAR007C","Recognition of DNA damage by PCNA-containing replication complex"
"YAR007C","Translesion Synthesis by POLH"
"YAR007C","Cell Cycle"
"YAR007C","Activation of ATR in response to replication stress"
"YAR007C","Mitotic G1-G1/S phases"
"YAR007C","Translesion synthesis by POLK"
"YAR007C","Translesion synthesis by POLI"
"YAR007C","Termination of translesion DNA synthesis"
"YAR007C","Gap-filling DNA repair synthesis and ligation in GG-NER"
"YAR007C","Nucleotide Excision Repair"
"YAR007C","Global Genome Nucleotide Excision Repair (GG-NER)"
"YAR007C","Dual Incision in GG-NER"
"YAR007C","Transcription-Coupled Nucleotide Excision Repair (TC-NER)"
"YAR007C","Dual incision in TC-NER"
"YAR007C","Gap-filling DNA repair synthesis and ligation in TC-NER"
"YAR007C","Activation of the pre-replicative complex"
"YAR007C","DNA Replication Pre-Initiation"
"YAR007C","Removal of the Flap Intermediate"
"YAR007C","Processive synthesis on the lagging strand"
"YAR007C","Lagging Strand Synthesis"
"YAR007C","DNA strand elongation"
"YAR007C","G1/S Transition"
"YAR007C","Synthesis of DNA"
"YAR007C","S Phase"
"YAR007C","Cell Cycle, Mitotic"
"YAR007C","DNA Replication"
"YAR007C","G2/M Checkpoints"
"YAR007C","Cell Cycle Checkpoints"
"YAR007C","DNA Damage Bypass"
"YAR007C","DNA Repair"
"YAR018C","Cell Cycle"
"YAR018C","APC/C-mediated degradation of cell cycle proteins"
"YAR018C","APC/C:Cdc20 mediated degradation of mitotic proteins"
"YAR018C","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"
"YAR018C","APC-Cdc20 mediated degradation of Nek2A"
"YAR018C","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"
"YAR018C","Regulation of mitotic cell cycle"
"YAR018C","Cell Cycle, Mitotic"
"YAR042W","Metabolism"
"YAR042W","Synthesis of bile acids and bile salts"
"YAR042W","Bile acid and bile salt metabolism"
"YAR042W","Metabolism of lipids"
"YAR042W","Metabolism of steroids"
"YBL002W","Signal Transduction"
"YBL002W","Cell Cycle"
"YBL002W","Cellular responses to stress"
"YBL002W","Condensation of Prophase Chromosomes"
"YBL002W","Oxidative Stress Induced Senescence"
"YBL002W","Cellular Senescence"
"YBL002W","HATs acetylate histones"
"YBL002W","Chromatin modifying enzymes"
"YBL002W","Chromatin organization"
"YBL002W","Mitotic Prophase"
"YBL002W","M Phase"
"YBL002W","Cell Cycle, Mitotic"
"YBL002W","ESR-mediated signaling"
"YBL002W","Cellular responses to external stimuli"
"YBL002W","Signaling by Nuclear Receptors"
"YBL002W","Estrogen-dependent gene expression"
"YBL004W","Major pathway of rRNA processing in the nucleolus and cytosol"
"YBL004W","rRNA processing"
"YBL004W","rRNA processing in the nucleus and cytosol"
"YBL004W","Metabolism of RNA"
"YBL007C","Signal Transduction"
"YBL007C","Signaling by Rho GTPases"
"YBL007C","Rho GTPase cycle"
"YBL007C","Membrane Trafficking"
"YBL007C","Signaling by GPCR"
"YBL007C","GPCR downstream signalling"
"YBL007C","G alpha (12/13) signalling events"
"YBL007C","Vesicle-mediated transport"
"YBL007C","Cargo recognition for clathrin-mediated endocytosis"
"YBL007C","Clathrin-mediated endocytosis"
"YBL016W","MAPK3 (ERK1) activation"
"YBL016W","Opioid Signalling"
"YBL016W","phospho-PLA2 pathway"
"YBL016W","Ca-dependent events"
"YBL016W","G-protein mediated events"
"YBL016W","PLC beta mediated events"
"YBL016W","RAF-independent MAPK1/3 activation"
"YBL016W","MAPK1 (ERK2) activation"
"YBL016W","Developmental Biology"
"YBL016W","Cytokine Signaling in Immune system"
"YBL016W","Signal Transduction"
"YBL016W","Toll Like Receptor 4 (TLR4) Cascade"
"YBL016W","MyD88:MAL(TIRAP) cascade initiated on plasma membrane"
"YBL016W","MyD88-independent TLR4 cascade "
"YBL016W","Signaling by NTRKs"
"YBL016W","Toll Like Receptor 9 (TLR9) Cascade"
"YBL016W","Toll Like Receptor 10 (TLR10) Cascade"
"YBL016W","Toll Like Receptor 3 (TLR3) Cascade"
"YBL016W","Toll Like Receptor 5 (TLR5) Cascade"
"YBL016W","Toll Like Receptor TLR1:TLR2 Cascade"
