Entry	Mass	Gene Names (ordered locus)
D6VTK4	47849	YFL026W
O13297	61850	YPL228W
O13329	65318	YDR110W
O13516	22443	YPL081W
O13547	23268	YLR390W-A
O13563	17902	YLR421C
O14467	16404	YOR298C-A
O60200	9712	YKL053C-A
O74700	10202	YEL020W-A
O94742	10386	YDR363W-A
P00044	12182	YJR048W
P00045	12532	YEL039C
P00127	17257	YFR033C
P00128	14565	YDR529C
P00163	43656	Q0105
P00175	65539	YML054C
P00330	36849	YOL086C
P00331	36732	YMR303C
P00358	35847	YJR009C
P00359	35747	YGR192C
P00360	35750	YJL052W
P00401	58798	Q0045
P00410	28567	Q0250
P00420	30360	Q0275
P00424	17140	YNL052W
P00431	40353	YKR066C
P00445	15855	YJR104C
P00546	34061	YBR160W
P00549	54545	YAL038W
P00560	44738	YCR012W
P00572	24687	YJR057W
P00635	52859	YBR093C
P00724	60639	YIL162W
P00729	59802	YMR297W
P00812	35662	YPL111W
P00815	87721	YCL030C
P00817	32300	YBR011C
P00830	54794	YJR121W
P00854	29099	Q0085
P00890	53360	YNR001C
P00924	46816	YGR254W
P00925	46914	YHR174W
P00927	63831	YER086W
P00937	53489	YKL211C
P00942	26795	YDR050C
P00950	27609	YKL152C
P00958	85678	YGR264C
P01094	7707	YMR174C
P01097	9870	YDL181W
P01119	34347	YOR101W
P01120	34705	YNL098C
P01123	23214	YFL038C
P02293	14252	YDR224C
P02294	14237	YBL002W
P02309	11368	YBR009C; YNL030W
P02400	11050	YDR382W
P02406	16722	YGL103W
P02557	50923	YFL037W
P02829	81406	YPL240C
P02992	47972	YOR187W
P02994	50033	YPR080W; YBR118W
P03069	31310	YEL009C
P03870	48620	R0010W
P03871	43231	R0020C
P03873	49326	Q0110
P03877	47917	Q0060
P03878	63311	Q0065
P03879	74580	Q0120
P03962	29240	YEL021W
P03965	123915	YJR109C
P04037	17143	YGL187C
P04039	8907	YLR395C
P04050	191612	YDL140C
P04051	162301	YOR116C
P04147	64344	YER165W
P04385	57944	YBR020W
P04386	99403	YPL248C
P04387	48323	YML051W
P04397	78195	YBR019C
P04456	15758	YOL127W
P04710	34121	YMR056C
P04786	89995	YOL006C
P04802	63516	YLL018C
P04806	53738	YFR053C
P04807	53942	YGL253W
P04817	65785	YEL063C
P04819	84828	YDL164C
P04821	179092	YLR310C
P04840	30428	YNL055C
P04911	13989	YDR225W
P04912	13989	YBL003C
P05030	99619	YGL008C
P05066	66274	YOR386W
P05150	37845	YJL088W
P05317	33717	YLR340W
P05318	10908	YDL081C
P05319	10746	YOL039W
P05373	37740	YGL040C
P05374	101204	YGR157W
P05375	23150	YJR073C
P05453	76551	YDR172W
P05626	26925	YPL078C
P05737	27638	YGL076C
P05739	19986	YLR448W
P05740	20549	YKL180W
P05744	12154	YPL143W
P05745	11124	YMR194W
P05748	24422	YLR029C
P05750	26503	YNL178W
P05755	22299	YBR189W
P05756	17029	YDR064W
P05759	17216	YLR167W
P05986	45977	YKL166C
P06100	22363	YDL165W
P06101	58385	YDR168W
P06102	94403	YIL038C
P06103	88130	YOR361C
P06104	19706	YGL058W
P06105	134810	YJL080C
P06106	48672	YLR303W
P06115	64583	YGR088W
P06168	44368	YLR355C
P06169	61495	YLR044C
P06197	24824	YPR113W
P06208	68409	YNL104C
P06242	35247	YDL108W
P06243	58320	YDL017W
P06244	46076	YJL164C
P06245	44220	YPL203W
P06367	14537	YCR031C
P06634	65553	YOR204W
P06700	63262	YDL042C
P06701	111360	YLR442C
P06704	18751	YOR257W
P06738	103275	YPR160W
P06774	29867	YGL237C
P06777	126370	YPL022W
P06778	52404	YML032C
P06779	63777	YJR052W
P06780	23152	YPR165W
P06781	21479	YNL090W
P06782	72045	YDR477W
P06784	57709	YDL159W
P06785	35047	YOR074C
P06786	164215	YNL088W
P06787	16135	YBR109C
P06838	24311	YML095C
P06839	89786	YER171W
P06843	38551	YER161C
P06844	38800	YDR392W
P07143	34055	YOR065W
P07149	228691	YKL182W
P07170	24255	YDR226W
P07213	70123	YNL121C
P07244	86068	YGL234W
P07245	102205	YGR204W
P07246	40370	YMR083W
P07248	150941	YDR216W
P07249	19488	YMR042W
P07250	40353	YDR173C
P07251	58608	YBL099W
P07255	6963	YDL067C
P07256	50228	YBL045C
P07257	40478	YPR191W
P07258	45362	YOR303W
P07259	245041	YJL130C
P07260	24254	YOL139C
P07261	87729	YPL075W
P07263	59953	YPR033C
P07264	85794	YGL009C
P07267	44499	YPL154C
P07269	63391	YDL106C
P07270	34089	YFR034C
P07271	97682	YML061C
P07272	102724	YLR014C
P07273	34843	YGL043W
P07274	13677	YOR122C
P07276	117838	YGR258C
P07277	48460	YMR208W
P07278	47219	YIL033C
P07280	15917	YOL121C
P07281	15891	YNL302C
P07283	29063	YFL045C
P07342	74937	YMR108W
P07347	27603	YHR013C
P07560	23506	YFL005W
P07702	155346	YBR115C
P07703	37687	YPR110C
P07834	86090	YFL009W
P07866	163150	YAL024C
P07884	50237	YOR274W
P07991	46086	YLR438W
P08004	129871	YNL192W
P08018	72720	YJL128C
P08067	23365	YEL024W
P08153	79775	YDR146C
P08417	53152	YPL262W
P08425	54829	YPR047W
P08432	52285	YKL184W
P08458	55704	YDR523C
P08466	37210	YJL208C
P08518	138751	YOR151C
P08524	40483	YJL167W
P08525	10975	YJL166W
P08536	57725	YJR010W
P08539	54076	YHR005C
P08566	174755	YDR127W
P08638	100153	YLR451W
P08640	136111	YIR019C
P08678	227834	YJL005W
P08679	51413	YCR005C
P08964	223636	YHR023W
P09032	65700	YOR260W
P09064	31574	YPL237W
P09119	58037	YJL194W
P09201	38263	YLR377C
P09232	69621	YEL060C
P09440	106217	YBR084W
P09547	147938	YPL016W
P09620	82245	YGL203C
P09624	54010	YFL018C
P09733	49800	YML085C
P09734	49694	YML124C
P09798	94992	YKL022C
P09880	95337	YJL087C
P09938	46147	YJL026W
P09950	59362	YDR232W
P09959	90560	YLR182W
P0C0T4	12009	YLR333C
P0C0V8	9746	YKR057W
P0C0W9	19720	YPR102C
P0C0X0	7565	YLR264W
P0C2J1	198374	YPR158C-D
P0CD91	32713	YPR192W
P0CE41	166108	YLR256W
P0CG63	42826	YLL039C
P0CH08	14554	YIL148W
P0CH09	14554	YKR094C
P0CS90	70628	YJR045C
P0CT04	8590	YNL015W
P0CX27	12212	YNL162W
P0CX28	12212	YHR141C
P0CX29	16038	YGR118W
P0CX30	16038	YPR132W
P0CX31	15329	YER074W
P0CX32	15329	YIL069C
P0CX35	29410	YJR145C
P0CX36	29410	YHR203C
P0CX37	26996	YPL090C
P0CX38	26996	YBR181C
P0CX39	22490	YBL072C
P0CX40	22490	YER102W
P0CX41	14473	YBL087C
P0CX42	14473	YER117W
P0CX43	24486	YPL220W
P0CX44	24486	YGL135W
P0CX45	27408	YFR031C-A
P0CX46	27408	YIL018W
P0CX47	17749	YDR025W
P0CX48	17749	YBR048W
P0CX49	20563	YOL120C
P0CX50	20563	YNL301C
P0CX51	15847	YMR143W
P0CX53	17823	YEL054C
P0CX54	17823	YDR418W
P0CX55	17038	YDR450W
P0CX56	17038	YML026C
P0CX77	38687	YLR157C
P0CX78	38687	YLR158C
P0CX79	38687	YLR160C
P0CX80	6650	YHR053C
P0CX81	6650	YHR055C
P0CX82	21704	YBR084C-A
P0CX83	21704	YBL027W
P0CX84	13910	YDL191W
P0CX85	13910	YDL136W
P0CY06	20413	YCR040W
P0CY08	24282	YCR039C
P0CZ17	38687	YLR155C
P10080	32990	YHL034C
P10081	44697	YKR059W; YJL138C
P10127	41142	YGL256W
P10174	6932	YMR256C
P10363	47690	YIR008C
P10507	51084	YLR163C
P10591	69657	YAL005C
P10592	69470	YLL024C
P10614	60720	YHR007C
P10622	10668	YDL130W
P10659	41818	YLR180W
P10664	39092	YBR031W
P10823	50448	YER020W
P10862	55230	YCR066W
P10863	24906	YER011W
P10870	96719	YDL194W
P10961	93282	YGL073W
P10962	35696	YAL025C
P10964	186432	YOR341W
P11075	226886	YDR170C
P11076	20529	YDL192W
P11154	130099	YGL062W
P11325	101920	YLR382C
P11353	37712	YDR044W
P11412	57522	YNL241C
P11433	96940	YAL041W
P11484	66602	YDL229W
P11491	63004	YDR481C
P11632	10802	YPR052C
P11633	11476	YBR089C-A
P11655	51608	YNR026C
P11709	51092	YCL029C
P11710	57779	YCL027W
P11745	45816	YMR235C
P11746	32802	YMR043W
P11747	19132	YML098W
P11792	91812	YHR205W
P11914	53338	YHR024C
P11938	92413	YNL216W
P11972	79716	YLR452C
P11978	152062	YDR227W
P11986	59642	YJL153C
P12383	121794	YGL013C
P12385	49006	YBR143C
P12611	55346	YOR043W
P12630	63730	YIL015W
P12683	115626	YML075C
P12684	115692	YLR450W
P12688	76480	YKL126W
P12689	112227	YOR346W
P12695	51818	YNL071W
P12709	61299	YBR196C
P12753	152569	YNL250W
P12754	70852	YGR083C
P12866	144766	YKL209C
P12868	117478	YMR231W
P12904	36401	YGL115W
P12945	98905	YDL040C
P12954	134306	YJL092W
P12962	18223	YOR276W
P13099	74371	YLR234W
P13134	90003	YNL238W
P13185	120071	YDR122W
P13186	128338	YLR096W
P13259	49406	YGR202C
P13365	64991	YAL040C
P13382	166809	YNL102W
P13393	27003	YER148W
P13433	153047	YFL036W
P13517	32629	YIL034C
P13574	77867	YHR084W
