"ORF","term"
"YBR011C","Mn"
"YKR066C","Fe"
"YAL038W","Mn"
"YAL038W","K"
"YDR256C","Fe"
"YKL015W","Zn"
"YHR053C","Ag"
"YHR053C","Cu"
"YDR216W","Zn"
"YGL040C","Zn"
"YPL248C","Cd"
"YPR074C","Ca"
"YJR104C","Zn"
"YNL189W","Co"
"YPL001W","Ca"
"YNL259C","Hg"
"YJR048W","Fe"
"YKR066C","K"
"YPL228W","Mn"
"YJR131W","Ca"
"YJR139C","Na"
"YGR254W","Mg"
"YDL185W","Zn"
"YMR038C","Ca"
"YOR089C","Mg"
"YOR089C","Ni"
"YGR254W","Mn"
"Q0105","Fe"
"YOR065W","Fe"
"YEL024W","Fe"
"YJR104C","Cu"
"YBR109C","Ca"
"YPR141C","Mg"
"YKR002W","Mn"
"YML054C","Fe"
"YNL259C","Cu"
"YPL232W","Zn"
"YER094C","Mg"
"YBL041W","Mg"
"YJL001W","Mg"
"YOR157C","Mg"
"YPR103W","Mg"
"YOR362C","Mg"
"YDR373W","Ca"
"YKR059W","Zn"
"YDR270W","Cu"
"YOR244W","Na"
"YGL011C","Mg"
"YGR253C","Mg"
"YFL005W","Co"
"YFL005W","Mg"
"YJR010W","Mg"
"YJR010W","Cd"
"YJR010W","Ca"
"YJR010W","Na"
"YNL239W","Hg"
"YPL240C","Cd"
"YPL240C","Mg"
"YLR284C","Re"
"YLR163C","Zn"
"YKL085W","Zn"
"YBR011C","Mg"
"YGL070C","Zn"
"YDL140C","Zn"
"YDL140C","Mg"
"YOR210W","Zn"
"YHR143W-A","Zn"
"YIL021W","Zn"
"YOR151C","Zn"
"YDL140C","Mn"
"YBR010W","Mn"
"YBL002W","Mn"
"YDR225W","Mn"
"YLR195C","Ni"
"YEL009C","Zn"
"YEL009C","Cd"
"YAL003W","Mg"
"YBR020W","Mg"
"YLR293C","Mg"
"YDR226W","Mg"
"YGR254W","K"
"YBR248C","Ni"
"YPR062W","Zn"
"YPR062W","Ca"
"YEL026W","Mg"
"YPL106C","Mg"
"YOR346W","Mg"
"YGR254W","Li"
"YIL109C","Zn"
"YMR092C","Zn"
"YMR318C","Zn"
"YBR088C","Hg"
"YKR066C","Zn"
"YJR048W","Zn"
"YEL009C","Na"
"YGL120C","Mg"
"YGL120C","Ni"
"YDR399W","Mg"
"YGL043W","Zn"
"YCL043C","Ba"
"YBR037C","Cu"
"YBR037C","Pt"
"YLR182W","Ca"
"YLR182W","As"
"YBL016W","Mg"
"YLR044C","Mg"
"YNL088W","Mg"
"YLR014C","Zn"
"YDR419W","Ca"
"YPL015C","Zn"
"YHR211W","Na"
"YHR211W","Ca"
"YPL190C","As"
"YFL038C","Mg"
"YJR121W","Mg"
"YBL099W","Mg"
"YBR252W","Mg"
"YNL045W","Zn"
"YPR086W","Zn"
"YDR228C","Ca"
"YNR006W","Zn"
"YDR188W","Be"
"YJL111W","Be"
"YJR064W","Be"
"YJL008C","Be"
"YJL014W","Be"
"YIL142W","Be"
"YDL143W","Be"
"YDR212W","Be"
"YNL259C","Mo"
"YGL037C","Zn"
"YMR080C","Mg"
"YMR080C","Zn"
"YJL026W","Zn"
"YER070W","Mg"
"YMR216C","Mg"
"YMR216C","Ni"
"YOR046C","Mg"
"YKR070W","Mg"
"YCR012W","Mg"
"YMR108W","Mg"
"YMR108W","K"
"YOL064C","Mg"
"YOR001W","Mn"
"YOR001W","Zn"
