"ORF","term"
"Q0045","Fe"
"Q0055","Fe"
"Q0060","Fe"
"Q0065","Fe"
"Q0070","Fe"
"Q0250","Cu"
"YAL026C","Mg"
"YAL038W","Mg"
"YAL038W","K"
"YAL048C","Ca"
"YAL051W","Zn"
"YAL058W","Ca"
"YAL060W","Zn"
"YAL061W","Zn"
"YBL005W","Zn"
"YBL019W","Zn"
"YBL047C","Ca"
"YBL066C","Zn"
"YBL068W","Mg"
"YBL071W-A","Fe"
"YBL071W-A","Zn"
"YBR001C","Ca"
"YBR011C","Mg"
"YBR014C","Fe"
"YBR018C","Zn"
"YBR024W","Cu"
"YBR033W","Zn"
"YBR037C","Cu"
"YBR046C","Zn"
"YBR053C","Ca"
"YBR058C","Zn"
"YBR109C","Ca"
"YBR145W","Zn"
"YBR150C","Zn"
"YBR163W","Fe"
"YBR176W","Mg"
"YBR239C","Zn"
"YBR240C","Zn"
"YBR252W","Mg"
"YBR263W","Zn"
"YBR267W","Zn"
"YBR297W","Zn"
"YCL017C","Fe"
"YCL018W","Mg"
"YCR018C","Zn"
"YCR090C","Zn"
"YCR105W","Zn"
"YCR106W","Zn"
"YDL010W","Fe"
"YDL030W","Zn"
"YDL043C","Zn"
"YDL061C","Zn"
"YDL066W","Mg"
"YDL080C","Mg"
"YDL102W","Fe"
"YDL168W","Zn"
"YDL170W","Zn"
"YDL171C","Fe"
"YDL175C","Zn"
"YDL238C","Zn"
"YDL246C","Zn"
"YDR001C","Ca"
"YDR034C","Zn"
"YDR045C","Zn"
"YDR052C","Zn"
"YDR088C","Zn"
"YDR091C","Fe"
"YDR093W","Mg"
"YDR098C","Fe"
"YDR178W","Fe"
"YDR207C","Zn"
"YDR213W","Zn"
"YDR234W","Fe"
"YDR256C","Fe"
"YDR297W","Fe"
"YDR303C","Zn"
"YDR353W","Fe"
"YDR373W","Ca"
"YDR380W","Mg"
"YDR402C","Fe"
"YDR409W","Zn"
"YDR421W","Zn"
"YDR448W","Zn"
"YDR520C","Zn"
"YEL019C","Zn"
"YEL020C","Mg"
"YEL024W","Fe"
"YEL038W","Mg"
"YEL039C","Fe"
"YEL058W","Mg"
"YER003C","Zn"
"YER017C","Zn"
"YER040W","Zn"
"YER049W","Fe"
"YER055C","Mg"
"YER078C","Mn"
"YER091C","Zn"
"YER099C","Mg"
"YER137C","Zn"
"YER166W","Mg"
"YER171W","Fe"
"YER174C","Fe"
"YER184C","Zn"
"YFL021W","Zn"
"YFL052W","Zn"
"YFR005C","Zn"
"YFR006W","Mn"
"YFR018C","Zn"
"YFR037C","Zn"
"YGL009C","Fe"
"YGL013C","Zn"
"YGL040C","Zn"
"YGL043W","Zn"
"YGL055W","Fe"
"YGL070C","Zn"
"YGL091C","Fe"
"YGL106W","Ca"
"YGL154C","Mg"
"YGL162W","Zn"
"YGL166W","Cu"
"YGL187C","Zn"
"YGL220W","Fe"
"YGR024C","Mg"
"YGR058W","Ca"
"YGR058W","Zn"
"YGR060W","Fe"
"YGR063C","Zn"
"YGR087C","Mg"
"YGR088W","Fe"
"YGR100W","Ca"
"YGR109W-A","Zn"
"YGR109W-B","Zn"
"YGR144W","Fe"
"YGR184C","Zn"
"YGR208W","Mg"
"YGR211W","Zn"
"YGR234W","Fe"
"YGR244C","Mg"
"YGR254W","Mg"
"YGR267C","Zn"
"YGR286C","Fe"
"YGR288W","Zn"
"YHL010C","Zn"
"YHL011C","Mg"
"YHR007C","Fe"
"YHR008C","Mn"
"YHR035W","Zn"
"YHR047C","Zn"
"YHR053C","Cu"
"YHR055C","Cu"
"YHR056C","Zn"
"YHR098C","Zn"
"YHR113W","Zn"
"YHR132C","Zn"
"YHR143W-A","Zn"
"YHR144C","Zn"
"YHR164C","Fe"
"YHR174W","Mg"
"YHR178W","Zn"
"YHR204W","Ca"
"YIL003W","Fe"
"YIL030C","Zn"
"YIL048W","Mg"
"YIL079C","Zn"
"YIL082W-A","Zn"
"YIL094C","Mg"
"YIL109C","Zn"
"YIL130W","Zn"
"YIL137C","Zn"
"YIL140W","Ca"
"YIR006C","Ca"
"YIR013C","Zn"
"YIR023W","Zn"
"YIR027C","Zn"
"YJL005W","Mg"
"YJL035C","Zn"
"YJL056C","Zn"
"YJL079C","Mg"
"YJL089W","Zn"
"YJL103C","Zn"
"YJL110C","Zn"
"YJL200C","Fe"
"YJL206C","Zn"
"YJR016C","Fe"
"YJR024C","Zn"
"YJR025C","Fe"
"YJR048W","Fe"
"YJR063W","Zn"
"YJR078W","Fe"
"YJR097W","Fe"
"YJR104C","Cu"
"YJR127C","Zn"
"YJR131W","Ca"
"YJR137C","Fe"
"YJR159W","Zn"
"YKL015W","Zn"
"YKL034W","Zn"
"YKL038W","Zn"
"YKL040C","Fe"
"YKL045W","Fe"
"YKL056C","Ca"
"YKL059C","Zn"
"YKL060C","Zn"
"YKL084W","Zn"
"YKL103C","Zn"
"YKL113C","Mg"
"YKL114C","Zn"
"YKL127W","Mg"
"YKL137W","Cu"
"YKL157W","Zn"
"YKL181W","Mg"
"YKL185W","Zn"
"YKL190W","Ca"
"YKL195W","Fe"
"YKL218C","Mg"
"YKL222C","Zn"
"YKR023W","Zn"
"YKR034W","Zn"
"YKR064W","Zn"
"YKR066C","Fe"
"YKR071C","Fe"
"YLL018C-A","Cu"
"YLL027W","Fe"
"YLL041C","Fe"
"YLL054C","Zn"
"YLL062C","Zn"
"YLR005W","Zn"
"YLR013W","Zn"
"YLR014C","Zn"
"YLR024C","Zn"
"YLR032W","Zn"
"YLR044C","Mg"
"YLR056W","Fe"
"YLR057W","Ca"
"YLR058C","Zn"
"YLR060W","Mg"
"YLR070C","Zn"
"YLR074C","Zn"
"YLR098C","Zn"
"YLR116W","Zn"
"YLR134W","Mg"
"YLR151C","Mg"
"YLR151C","Mn"
"YLR164W","Fe"
"YLR174W","Mg"
"YLR215C","Mg"
"YLR228C","Zn"
"YLR245C","Zn"
"YLR250W","Ca"
"YLR256W","Zn"
"YLR266C","Zn"
"YLR278C","Zn"
"YLR298C","Zn"
"YLR304C","Fe"
"YLR388W","Zn"
"YLR451W","Zn"
"YML054C","Fe"
"YML076C","Zn"
"YML099C","Zn"
"YML107C","Zn"
"YMR009W","Fe"
"YMR015C","Fe"
"YMR019W","Zn"
"YMR021C","Cu"
"YMR026C","Zn"
"YMR073C","Fe"
"YMR080C","Zn"
"YMR083W","Zn"
"YMR089C","Zn"
"YMR105C","Mg"
"YMR108W","Mg"
"YMR136W","Zn"
"YMR162C","Mg"
"YMR168C","Zn"
"YMR201C","Zn"
"YMR223W","Zn"
"YMR224C","Mn"
"YMR234W","Mg"
"YMR244C-A","Cu"
"YMR247C","Zn"
"YMR267W","Mg"
"YMR272C","Fe"
"YMR278W","Mg"
"YMR280C","Zn"
"YMR303C","Zn"
"YMR318C","Zn"
"YMR323W","Mg"
"YNL009W","Mg"
"YNL023C","Zn"
"YNL036W","Zn"
"YNL037C","Mg"
"YNL045W","Zn"
"YNL049C","Zn"
"YNL083W","Ca"
"YNL084C","Ca"
"YNL102W","Fe"
"YNL111C","Fe"
"YNL118C","Mn"
"YNL141W","Zn"
"YNL155W","Zn"
"YNL220W","Mg"
"YNL234W","Fe"
"YNL240C","Fe"
"YNL255C","Zn"
"YNL262W","Zn"
"YNL262W","Fe"
"YNL310C","Zn"
"YNR021W","Ca"
"YNR057C","Mg"
"YNR063W","Zn"
"YOL033W","Zn"
"YOL043C","Fe"
"YOL061W","Mg"
"YOL086C","Zn"
"YOL089C","Zn"
"YOL133W","Zn"
"YOL142W","Mn"
"YOL154W","Zn"
"YOR031W","Cu"
"YOR052C","Zn"
"YOR065W","Fe"
"YOR077W","Zn"
"YOR136W","Mg"
"YOR155C","Mg"
"YOR156C","Zn"
"YOR162C","Zn"
"YOR172W","Zn"
"YOR196C","Fe"
"YOR210W","Zn"
"YOR226C","Fe"
"YOR257W","Ca"
"YOR335C","Zn"
"YOR337W","Zn"
"YOR341W","Zn"
"YOR347C","Mg"
"YOR347C","K"
"YOR356W","Fe"
"YOR363C","Zn"
"YOR380W","Zn"
"YOR393W","Mg"
"YPL015C","Zn"
"YPL021W","Zn"
"YPL047W","Zn"
"YPL048W","Ca"
"YPL059W","Fe"
"YPL086C","Fe"
"YPL103C","Zn"
"YPL111W","Zn"
"YPL111W","Mn"
"YPL132W","Cu"
"YPL133C","Zn"
"YPL135W","Fe"
"YPL135W","Zn"
"YPL148C","Mg"
"YPL167C","Fe"
"YPL170W","Fe"
"YPL172C","Fe"
"YPL202C","Fe"
"YPL207W","Fe"
"YPL231W","Mg"
"YPL248C","Zn"
"YPL252C","Fe"
"YPL268W","Ca"
"YPL281C","Mg"
"YPR002W","Fe"
"YPR008W","Cu"
"YPR017C","Zn"
"YPR022C","Zn"
"YPR062W","Zn"
"YPR067W","Fe"
"YPR181C","Zn"
"YPR188C","Ca"
"YPR196W","Zn"
"Q0105","unspecific"
"YAL002W","unspecific"
"YAL021C","unspecific"
"YAL035W","unspecific"
"YAL039C","unspecific"
"YAR007C","unspecific"
"YAR009C","unspecific"
"YBL005W-B","unspecific"
"YBL023C","unspecific"
"YBL033C","unspecific"
"YBL045C","unspecific"
"YBL049W","unspecific"
"YBL052C","unspecific"
"YBL055C","unspecific"
"YBL056W","unspecific"
"YBL059C-A","unspecific"
"YBL091C","unspecific"
"YBL100W-B","unspecific"
"YBL105C","unspecific"
"YBR003W","unspecific"
"YBR012W-B","unspecific"
"YBR025C","unspecific"
"YBR062C","unspecific"
"YBR066C","unspecific"
"YBR074W","unspecific"
"YBR091C","unspecific"
"YBR098W","unspecific"
"YBR111C","unspecific"
"YBR114W","unspecific"
"YBR117C","unspecific"
"YBR125C","unspecific"
"YBR208C","unspecific"
"YBR218C","unspecific"
"YBR228W","unspecific"
"YBR242W","unspecific"
"YBR243C","unspecific"
"YBR281C","unspecific"
"YBR286W","unspecific"
"YCL019W","unspecific"
"YCL030C","unspecific"
"YCL033C","unspecific"
"YCL057W","unspecific"
"YCR014C","unspecific"
"YCR036W","unspecific"
"YCR066W","unspecific"
"YCR087C-A","unspecific"
"YDL006W","unspecific"
"YDL008W","unspecific"
"YDL017W","unspecific"
"YDL042C","unspecific"
"YDL047W","unspecific"
"YDL048C","unspecific"
"YDL074C","unspecific"
"YDL090C","unspecific"
"YDL098C","unspecific"
"YDL100C","unspecific"
"YDL104C","unspecific"
"YDL131W","unspecific"
"YDL134C","unspecific"
"YDL140C","unspecific"
"YDL164C","unspecific"
"YDL167C","unspecific"
"YDL182W","unspecific"
"YDL188C","unspecific"
"YDL209C","unspecific"
"YDL216C","unspecific"
"YDL226C","unspecific"
"YDL227C","unspecific"
"YDL240W","unspecific"
"YDR034C-D","unspecific"
"YDR043C","unspecific"
"YDR049W","unspecific"
"YDR066C","unspecific"
"YDR075W","unspecific"
"YDR096W","unspecific"
"YDR098C-B","unspecific"
"YDR101C","unspecific"
"YDR110W","unspecific"
"YDR127W","unspecific"
"YDR129C","unspecific"
"YDR143C","unspecific"
"YDR146C","unspecific"
"YDR151C","unspecific"
"YDR173C","unspecific"
"YDR182W","unspecific"
"YDR191W","unspecific"
"YDR210C-D","unspecific"
"YDR210W-B","unspecific"
"YDR216W","unspecific"
"YDR236C","unspecific"
"YDR253C","unspecific"
"YDR255C","unspecific"
"YDR261C-D","unspecific"
"YDR261W-B","unspecific"
"YDR263C","unspecific"
"YDR265W","unspecific"
"YDR266C","unspecific"
"YDR272W","unspecific"
"YDR287W","unspecific"
"YDR313C","unspecific"
"YDR316W-B","unspecific"
"YDR323C","unspecific"
"YDR336W","unspecific"
"YDR347W","unspecific"
"YDR365W-B","unspecific"
"YDR370C","unspecific"
"YDR379W","unspecific"
"YDR386W","unspecific"
"YDR390C","unspecific"
"YDR399W","unspecific"
"YDR415C","unspecific"
"YDR419W","unspecific"
"YDR430C","unspecific"
"YDR436W","unspecific"
"YDR452W","unspecific"
"YDR460W","unspecific"
"YDR463W","unspecific"
"YDR481C","unspecific"
"YDR487C","unspecific"
"YDR500C","unspecific"
"YDR502C","unspecific"
"YDR524C","unspecific"
"YDR539W","unspecific"
"YEL020W-A","unspecific"
"YEL029C","unspecific"
"YEL031W","unspecific"
"YER010C","unspecific"
"YER019W","unspecific"
"YER020W","unspecific"
"YER028C","unspecific"
"YER051W","unspecific"
"YER062C","unspecific"
"YER065C","unspecific"
"YER068W","unspecific"
"YER089C","unspecific"
"YER090W","unspecific"
"YER116C","unspecific"
"YER122C","unspecific"
"YER130C","unspecific"
"YER133W","unspecific"
"YER134C","unspecific"
"YER138C","unspecific"
"YER139C","unspecific"
"YER160C","unspecific"
"YER169W","unspecific"
"YFL002W-A","unspecific"
"YFL016C","unspecific"
"YFL044C","unspecific"
"YFR004W","unspecific"
"YFR019W","unspecific"
"YFR027W","unspecific"
"YFR044C","unspecific"
"YGL008C","unspecific"
"YGL022W","unspecific"
"YGL023C","unspecific"
"YGL035C","unspecific"
"YGL037C","unspecific"
"YGL062W","unspecific"
"YGL067W","unspecific"
"YGL071W","unspecific"
"YGL085W","unspecific"
"YGL089C","unspecific"
"YGL094C","unspecific"
"YGL101W","unspecific"
"YGL122C","unspecific"
"YGL131C","unspecific"
"YGL155W","unspecific"
"YGL156W","unspecific"
"YGL181W","unspecific"
"YGL209W","unspecific"
"YGL234W","unspecific"
"YGL243W","unspecific"
"YGL246C","unspecific"
"YGL251C","unspecific"
"YGL254W","unspecific"
"YGL256W","unspecific"
"YGR027W-B","unspecific"
"YGR038C-B","unspecific"
"YGR044C","unspecific"
"YGR061C","unspecific"
"YGR067C","unspecific"
"YGR071C","unspecific"
"YGR123C","unspecific"
"YGR161C-D","unspecific"
"YGR161W-B","unspecific"
"YGR170W","unspecific"
"YGR181W","unspecific"
"YGR240C","unspecific"
"YGR246C","unspecific"
"YGR258C","unspecific"
"YHL009W-B","unspecific"
"YHL021C","unspecific"
"YHL022C","unspecific"
"YHL027W","unspecific"
"YHR005C","unspecific"
"YHR005C-A","unspecific"
"YHR006W","unspecific"
"YHR021C","unspecific"
"YHR024C","unspecific"
"YHR040W","unspecific"
"YHR043C","unspecific"
"YHR044C","unspecific"
"YHR046C","unspecific"
"YHR051W","unspecific"
"YHR076W","unspecific"
"YHR079C","unspecific"
"YHR090C","unspecific"
"YHR111W","unspecific"
"YHR115C","unspecific"
"YHR134W","unspecific"
"YHR192W","unspecific"
"YHR201C","unspecific"
"YHR214C-B","unspecific"
"YHR216W","unspecific"
"YIL021W","unspecific"
"YIL044C","unspecific"
"YIL053W","unspecific"
"YIL072W","unspecific"
"YIL097W","unspecific"
"YIL106W","unspecific"
"YIL108W","unspecific"
"YIL147C","unspecific"
"YIL150C","unspecific"
"YIR008C","unspecific"
"YIR015W","unspecific"
"YJL025W","unspecific"
"YJL026W","unspecific"
"YJL100W","unspecific"
"YJL105W","unspecific"
"YJL113W","unspecific"
"YJL121C","unspecific"
"YJL130C","unspecific"
"YJL137C","unspecific"
"YJL157C","unspecific"
"YJL167W","unspecific"
"YJL172W","unspecific"
"YJL187C","unspecific"
"YJL208C","unspecific"
"YJL210W","unspecific"
"YJR027W","unspecific"
"YJR029W","unspecific"
"YJR055W","unspecific"
"YJR069C","unspecific"
"YJR070C","unspecific"
"YJR089W","unspecific"
"YJR094W-A","unspecific"
"YJR101W","unspecific"
"YJR109C","unspecific"
"YJR117W","unspecific"
"YJR119C","unspecific"
"YJR126C","unspecific"
"YJR135W-A","unspecific"
"YKL005C","unspecific"
"YKL011C","unspecific"
"YKL025C","unspecific"
"YKL028W","unspecific"
"YKL029C","unspecific"
"YKL035W","unspecific"
"YKL048C","unspecific"
"YKL062W","unspecific"
"YKL067W","unspecific"
"YKL087C","unspecific"
"YKL095W","unspecific"
"YKL132C","unspecific"
"YKL134C","unspecific"
"YKL141W","unspecific"
"YKL156W","unspecific"
"YKL160W","unspecific"
"YKR002W","unspecific"
"YKR017C","unspecific"
"YKR029C","unspecific"
"YKR038C","unspecific"
"YKR058W","unspecific"
"YKR079C","unspecific"
"YKR087C","unspecific"
"YKR090W","unspecific"
"YLL029W","unspecific"
"YLL057C","unspecific"
"YLR007W","unspecific"
"YLR035C-A","unspecific"
"YLR080W","unspecific"
"YLR090W","unspecific"
"YLR131C","unspecific"
"YLR136C","unspecific"
"YLR148W","unspecific"
"YLR157C-B","unspecific"
"YLR163C","unspecific"
"YLR167W","unspecific"
"YLR180W","unspecific"
"YLR185W","unspecific"
"YLR205C","unspecific"
"YLR227W-B","unspecific"
"YLR244C","unspecific"
"YLR247C","unspecific"
"YLR277C","unspecific"
"YLR318W","unspecific"
"YLR323C","unspecific"
"YLR355C","unspecific"
"YLR373C","unspecific"
"YLR375W","unspecific"
"YLR377C","unspecific"
"YLR387C","unspecific"
"YLR389C","unspecific"
"YLR401C","unspecific"
"YLR403W","unspecific"
"YLR410W-B","unspecific"
"YLR417W","unspecific"
"YLR420W","unspecific"
"YLR427W","unspecific"
"YLR432W","unspecific"
"YLR433C","unspecific"
"YML004C","unspecific"
"YML016C","unspecific"
"YML022W","unspecific"
"YML035C","unspecific"
"YML039W","unspecific"
"YML041C","unspecific"
"YML045W","unspecific"
"YML056C","unspecific"
"YML057W","unspecific"
"YML065W","unspecific"
"YML068W","unspecific"
"YML072C","unspecific"
"YML081W","unspecific"
"YMR027W","unspecific"
"YMR037C","unspecific"
"YMR045C","unspecific"
"YMR050C","unspecific"
"YMR070W","unspecific"
"YMR075W","unspecific"
"YMR100W","unspecific"
"YMR113W","unspecific"
"YMR118C","unspecific"
"YMR119W","unspecific"
"YMR127C","unspecific"
"YMR137C","unspecific"
"YMR176W","unspecific"
"YMR182C","unspecific"
"YMR205C","unspecific"
"YMR207C","unspecific"
"YMR208W","unspecific"
"YMR214W","unspecific"
"YMR231W","unspecific"
"YMR262W","unspecific"
"YMR300C","unspecific"
"YNL001W","unspecific"
"YNL008C","unspecific"
"YNL027W","unspecific"
"YNL040W","unspecific"
"YNL054W-B","unspecific"
"YNL064C","unspecific"
"YNL072W","unspecific"
"YNL077W","unspecific"
"YNL088W","unspecific"
"YNL097C","unspecific"
"YNL116W","unspecific"
"YNL129W","unspecific"
"YNL130C","unspecific"
"YNL168C","unspecific"
"YNL200C","unspecific"
"YNL204C","unspecific"
"YNL207W","unspecific"
"YNL218W","unspecific"
"YNL227C","unspecific"
"YNL238W","unspecific"
"YNL247W","unspecific"
"YNL250W","unspecific"
"YNL256W","unspecific"
"YNL284C-B","unspecific"
"YNL299W","unspecific"
"YNR006W","unspecific"
"YNR016C","unspecific"
"YNR020C","unspecific"
"YNR027W","unspecific"
"YNR032W","unspecific"
"YNR052C","unspecific"
"YOL013C","unspecific"
"YOL049W","unspecific"
"YOL054W","unspecific"
"YOL057W","unspecific"
"YOL064C","unspecific"
"YOL066C","unspecific"
"YOL068C","unspecific"
"YOL098C","unspecific"
"YOL103W-B","unspecific"
"YOL115W","unspecific"
"YOL125W","unspecific"
"YOL138C","unspecific"
"YOL152W","unspecific"
"YOL153C","unspecific"
"YOL164W","unspecific"
"YOR005C","unspecific"
"YOR020C","unspecific"
"YOR022C","unspecific"
"YOR025W","unspecific"
"YOR033C","unspecific"
"YOR040W","unspecific"
"YOR056C","unspecific"
"YOR064C","unspecific"
"YOR086C","unspecific"
"YOR090C","unspecific"
"YOR091W","unspecific"
"YOR113W","unspecific"
"YOR116C","unspecific"
"YOR119C","unspecific"
"YOR125C","unspecific"
"YOR127W","unspecific"
"YOR128C","unspecific"
"YOR142W-B","unspecific"
"YOR151C","unspecific"
"YOR163W","unspecific"
"YOR191W","unspecific"
"YOR192C-B","unspecific"
"YOR202W","unspecific"
"YOR207C","unspecific"
"YOR241W","unspecific"
"YOR256C","unspecific"
"YOR258W","unspecific"
"YOR274W","unspecific"
"YOR291W","unspecific"
"YOR343W-B","unspecific"
"YOR346W","unspecific"
"YOR360C","unspecific"
"YPL016W","unspecific"
"YPL028W","unspecific"
"YPL036W","unspecific"
"YPL038W","unspecific"
"YPL042C","unspecific"
"YPL054W","unspecific"
"YPL060C-A","unspecific"
"YPL069C","unspecific"
"YPL096W","unspecific"
"YPL117C","unspecific"
"YPL138C","unspecific"
"YPL179W","unspecific"
"YPL181W","unspecific"
